domain,L_avg,loss_arxiv,loss_dm_mathematics,loss_freelaw,loss_github,loss_gutenberg_pg_19,loss_hackernews,loss_pile_cc,loss_pubmed_abstracts,loss_pubmed_central,loss_stackexchange,loss_ubuntu_irc,loss_uspto_backgrounds,loss_wikipedia_en
arxiv,0.03644121517477689,-0.2908958814686459,0.10419294385164812,0.0805930592621266,0.10246676867009816,0.05122676035309085,0.051896377802859335,0.0471351962640323,0.05770569087290839,0.03698569717979026,0.06522430407581428,0.07297357088377578,0.04192511813278598,0.05230619139181637
freelaw,0.0416311402022405,0.12862621327273235,0.11559378744641151,-0.29128444055295105,0.12581060027602875,-0.012218652590831743,0.01865160477215707,0.016541943445028684,0.07327644420627377,0.10527547555837244,0.095661962811727,0.08981332879471564,0.039725600710776056,0.03573095447869059
nih_exporter,-0.21028754714995554,-0.03511437686408957,-0.4376953232450173,-0.13053150300549268,-0.34991693503046145,-0.040233063879273855,-0.08853747244942456,-0.11835881211310094,-0.4970320683040826,-0.4362466860213849,-0.24866976450214556,-0.17820850385394413,-0.01965470513427669,-0.1535388985467276
pubmed_central,0.021946872961051005,-0.006604941960033855,0.09479715096116352,0.05569426664286208,0.12028351935691166,0.05350265646147041,0.05129573963076022,0.03165611827508831,-0.09580120453890821,-0.26543940793224385,0.08732605080097657,0.11341827001409893,0.013754592754001822,0.031426538027521156
wikipedia_en,0.009626962815878498,0.06787668425436373,0.05946990777755918,-0.004355478082602391,0.08109802053562178,-0.012017311465179382,0.015653118069557947,-0.04219201750124652,0.02472752366717188,0.043231312908687536,0.057257780349125466,0.06907290209890293,0.013030688520879203,-0.2477026145264217
dm_mathematics,-0.13203666703742298,-0.04150656574306942,-1.791212577210527,0.022576270651959256,-0.034114302535962426,0.039145686350003435,0.012879547522638592,0.025030267411454653,0.01253564603716599,-0.019566700693140697,-0.003601500695104902,0.01266317211673219,-0.0007876161332148661,0.049482001434574575
github,0.04143203065889534,0.09350528556950159,0.10361136563235639,0.09890471058426127,-0.2838824118655526,0.064072286285382,0.037338149838308084,0.05980034258459417,0.10987417994331185,0.10547467390938409,-0.07172557598005148,0.055582799154913334,0.08451168518764324,0.08154890772158666
philpapers,-0.32194801546751983,-0.46990805255452833,-0.9290013227491427,-0.2344039255598205,-0.5224476530042084,-0.058891720245697554,-0.021280153505418616,-0.07610458349702341,-0.14571382751447576,-0.3013220567584617,-0.3367250528284787,-0.6633075812926034,-0.19385983264922896,-0.23235843891869043
stackexchange,-0.0040099872203256115,-0.06533305410524484,0.02333651701298338,0.08101601480087302,-0.13659094512790296,0.03527930972806324,-0.010394617398748321,0.015306894706913708,0.06985850726215272,0.06181352390234391,-0.24894217969181495,0.031764390577265524,0.04871209561836339,0.042043708850519765
enron_emails,-0.5137186501101224,0.262909840211823,-1.1538681020289576,-1.0295837508503665,-1.027543356987982,-0.5664978345732842,-0.5064020840048084,-0.4428755689327745,-0.03795526474636804,0.41582651850229674,-0.35055356384740577,-2.013839163453013,0.25925175457278615,-0.4872118752935142
gutenberg_pg_19,-0.02478529441318795,0.027559960651276787,-0.033717033223729403,-0.04976145703632333,0.036990140892166054,-0.3343909590439512,-0.028396446573601065,-0.024977389841232038,0.013017361120473298,0.011229445754285384,0.051393407743254495,0.014065709110836494,0.016810829833609726,-0.022032396758515357
pile_cc,0.013845667873205581,0.09741281591964078,0.08745842957364239,-0.02420720780869958,0.07478182690054151,-0.05069061367053424,-0.05003213548268333,-0.10495337701332841,0.02777386305234369,0.09966586109653089,0.03753521250816896,0.040552863416091885,0.0008498094841985708,-0.056153665624234385
ubuntu_irc,-0.18026720968610238,-0.038483618146127614,-0.13206877602690478,-0.054773023639395714,-0.1232084832801028,0.02240501765853126,-0.05391582417621359,-0.055877700224827534,0.029401514031184788,-0.09961112887168558,-0.09428393325958463,-1.8111943931658778,0.060187921505623125,0.007948701676053025
europarl,-0.08263515243095672,-0.08250655541388448,-0.00427299659249975,-0.10587180174018163,-0.11090434096091874,-0.017954975269051467,0.025034236442572057,0.0018249169331592192,-0.03423875115362603,-0.2169043775587778,-0.06281897283197496,-0.3794811555660119,-0.07750411840407583,-0.008658089487167732
hackernews,-0.19721637086398386,-0.05582501427549573,-0.3270933763348525,-0.2106107870920636,-0.17656245790538921,-0.18801372077435888,-0.8779505401871412,-0.12597436035751208,-0.012752685554952287,-0.09479858147371245,-0.1978259741018079,-0.21448017356489935,-0.01486567748668652,-0.06705947212291627
pubmed_abstracts,-0.008235459833135431,0.014864014801015424,0.06698971140623688,0.05843050021507373,0.011439125944174523,0.032594827678874214,0.01765621324102966,0.014657571815606216,-0.3008729594531331,-0.10244467206884666,0.022111920249134047,0.06834340373878965,-0.035501448923864566,0.02467081352514697
uspto_backgrounds,0.012908407937461324,0.05125981378889651,0.07952444510127182,0.040578143922224245,0.0954607627002675,0.04220745915122498,0.02528894917188185,0.018429913934532565,-0.031062447864932865,0.01588604371982914,0.056622179705287656,0.040369103998845475,-0.29739826833619715,0.03064320419386572
