domain,L_avg,loss_arxiv,loss_dm_mathematics,loss_freelaw,loss_github,loss_gutenberg_pg_19,loss_hackernews,loss_pile_cc,loss_pubmed_abstracts,loss_pubmed_central,loss_stackexchange,loss_ubuntu_irc,loss_uspto_backgrounds,loss_wikipedia_en
arxiv,-0.03761627454955959,-0.22608903028610403,-0.00804625355251468,-0.0033935926354990513,-0.016141619223804114,-0.0013387990036963198,-0.0015092181208422586,-0.0016526522947505303,-0.01830055021606415,-0.019467230978557286,-0.028146837049693778,-0.005863824355506597,-0.01095005742787166,-0.0024414637903251704
freelaw,-0.03820654439386802,-0.013578960210147985,-0.008473546957357338,-0.31270650752567053,-0.0027152129172446126,-0.029359313186340646,-0.008216695138638612,-0.019128723870697067,-0.019657084128172693,-0.01128776775679839,-0.001159669132463001,-0.005116667469645107,-0.011658259432217648,-0.014827184253685873
nih_exporter,-0.014634912612530557,1.3298572365395656e-05,-0.0077659110016837065,-0.008806835040155371,-0.015578115125569201,-0.006909921755398381,-0.002328312188381589,-0.0056236146850642856,-0.06028228088967763,-0.005506834375427782,-0.025866395534345554,-0.00120794145166812,-0.01080808431921103,0.0026576981571274764
pubmed_central,-0.04108383580350366,-0.031873485185463714,0.003338985829555433,-0.0071019936005655235,-0.011664701478478753,-0.0047906430598114854,-0.00220270384445204,-0.006291521882279519,-0.0794323627033637,-0.2261290575421269,-0.016557969479519624,-0.005697538802111543,-0.009595936176025183,-0.004148171531867286
wikipedia_en,-0.022110699819561885,-0.014741490605073444,-0.0053385746459630535,-0.012465810651476261,0.0031398912254058347,-0.011353206377334456,-0.0018359372547055287,-0.037715394369685386,0.004027111727104011,-0.0026855072927468304,-0.0017856331261148113,-0.0011248423065781381,-0.0020305357085243247,-0.1785910134919607
dm_mathematics,-0.0810389945553932,0.007137803929685759,-0.6041428757430523,0.002212002526667238,-0.0041174716313328395,-0.003363348818471221,0.0008297271929686509,0.003933827427763568,0.0021000703257006647,-0.001286109500957925,0.003569578497424759,-0.003494737223870672,-0.0013847756068022068,0.0035167457248587103
github,-0.041000901983904034,-0.004480119425328433,-0.004942405829070175,-0.01420669241908166,-0.2115316111975643,-0.0025945227970689136,-0.002703164594125533,-0.0074715596554107986,-0.02457840136869346,-0.009236586831158104,-0.10343249444504314,-0.0019136750535841637,-0.01749247867493549,-0.007715459435899997
philpapers,0.0012159657780241523,0.00047895150999692786,-0.003111990603499767,0.0005962238293700282,0.006876794904387262,0.001285711261756742,0.001329987684909991,-0.002020660268896798,0.024871849996958142,0.006960217452284082,0.0171476976816514,-0.013998967023089188,0.005061267765962671,-0.0012305982906851947
stackexchange,-0.04661736814325595,-0.05355015058636599,-0.015778136713993248,-0.007136874564257968,-0.09494388546506032,-0.002754853150251763,-0.013568813697876742,-0.016073137010865875,-0.021931516865105943,-0.012313175208365865,-0.2321358953982144,-0.011791930035712396,-0.009216374435800636,-0.011648015293376394
enron_emails,0.002464282981753022,0.0028032182791797615,0.006390838486596439,0.010092326574328713,0.0011277768155881298,0.0027803516378185223,-0.0016423112149753795,0.029331814587926264,0.03169783251726832,0.006234401108174055,-0.00619453148562068,0.0020345938422606383,0.0204566473688602,0.02636896869281135
gutenberg_pg_19,-0.01727707130390959,-0.009056945391657911,-0.00031710976128852635,-0.012065256403570137,0.0029673091033724773,-0.14672269651233533,-0.011417238086227199,-0.01735121584152676,-0.0049331479853917,-0.0031379518264491157,0.004339632013184814,-0.0013650606116829126,-0.004666657944370461,-0.008937055866532685
pile_cc,-0.021843530412005943,-0.00480181665088708,0.0022328899061716027,-0.023837542907915406,-0.006917407839233666,-0.03682088884456138,-0.019207838669787203,-0.09962881093810763,-0.0033113059932832816,-0.005624719331781481,-0.01929116539601291,-0.010868992099213796,-0.006623065194608489,-0.04201923664471382
ubuntu_irc,-0.05136233248423754,0.00860572493722427,-0.012922773570187602,0.008007547107267149,-0.005313722146057029,0.00971755660819413,-0.004398456495288478,-0.03747426651362432,0.01964857479583211,0.005425577078704025,-0.009469597470467389,-0.35095280103627985,0.0012412971148130112,0.0018226068172662703
europarl,0.004099630220675895,0.029186962333583057,-0.0037088702576695883,0.006252314857054645,0.0010417436463214479,-0.007630465887748713,0.0006731176339116533,0.006226797219308484,0.008753663445310072,0.009154770080057845,0.016057427062832516,-0.029148787491723935,-0.0036905453311721313,0.00514330857864751
hackernews,-0.01281281998826549,-0.00011008495543687724,-0.0012585232228736062,0.0018036157857449545,0.004425728500072854,-0.019807218990317586,-0.088706971151333,-0.006702977365379045,-0.0033816901639971216,-0.0016508022602764732,0.0026348197180735035,-0.001899097030832793,-0.004737289747895032,0.007406913992440493
pubmed_abstracts,-0.013470551831831355,-0.001135281483300805,0.002942373757636699,-0.005214135553444832,0.00037762011877118213,0.0008248954376257546,0.0018166420556190448,-0.005628513797829229,-0.19055865214673523,-0.025225520798671363,0.005530932942254944,0.004553080223644425,-0.021643595666253693,-0.007106406657965581
uspto_backgrounds,-0.018069525340958077,0.0008577035766133375,0.006259774584085733,0.002062592694461018,-0.008508523411413926,0.001096699355652787,0.0004795886972353089,-0.0032984496727418377,-0.018753710760571755,-0.004147288326716101,-0.010247943720857874,0.0015708187675543817,-0.25103809141881844,-0.004345837590017482
