ind_i,ind_j,arxiv,github,rho_gap_arxiv_minus_github
modernbert_professionalism,dsir_wiki,-0.5953953270993296,0.3098189620978069,-0.9052142891971365
modernbert_professionalism,dsir_books,-0.5923632135915962,0.30873016316555046,-0.9010933767571466
modernbert_professionalism,dsir_math,-0.49112380912444453,0.3396857189361662,-0.8308095280606107
dsir_books,rps_doc_frac_no_alph_words,0.8199334828857869,0.042932490223854924,0.777000992661932
dsir_wiki,rps_doc_frac_no_alph_words,0.8181934547759686,0.04631498961812587,0.7718784651578428
dsir_math,rps_doc_frac_no_alph_words,0.740556176403497,0.015158812013741441,0.7253973643897556
fineweb_edu,modernbert_professionalism,-0.3568078606587501,0.3375415816696371,-0.6943494423283871
rps_doc_word_count,rps_doc_unigram_entropy,0.09145799130301747,0.7714581637828103,-0.6800001724797928
rps_doc_unigram_entropy,rps_doc_frac_chars_top_3gram,0.4581406914882427,-0.19669780178368834,0.6548384932719311
modernbert_reasoning,dsir_wiki,-0.1087572994692881,0.5250516469358273,-0.6338089464051154
modernbert_reasoning,dsir_books,-0.10195854881264202,0.5245381067485642,-0.6264966555612062
fineweb_edu,modernbert_reasoning,-0.15702766886353658,0.4655988656428359,-0.6226265345063725
fineweb_edu,rps_doc_unigram_entropy,-0.11849020421552924,0.4997739107475368,-0.618264114963066
modernbert_cleanliness,dsir_wiki,-0.16099101785015826,0.4180567351698733,-0.5790477530200315
modernbert_cleanliness,dsir_books,-0.1597718278809527,0.4179605708380207,-0.5777323987189734
modernbert_professionalism,rps_doc_unigram_entropy,0.1177088940355732,0.6870814366716683,-0.5693725426360952
modernbert_cleanliness,dsir_math,-0.15742314756177703,0.4088866406028453,-0.5663097881646223
modernbert_professionalism,modernbert_readability,-0.43242765123318505,0.12463202288319258,-0.5570596741163776
dsir_books,rps_doc_unigram_entropy,0.01162980545315948,0.5610767312488886,-0.5494469257957291
dsir_wiki,rps_doc_unigram_entropy,0.01165528482284633,0.5597486515527561,-0.5480933667299098
modernbert_reasoning,dsir_math,0.006100000591211121,0.5486647091059806,-0.5425647085147696
modernbert_professionalism,ad_en,0.39906359064908237,-0.11849466414699851,0.5175582547960809
modernbert_readability,modernbert_cleanliness,0.1138441963713318,0.6289922557380296,-0.5151480593666978
fineweb_edu,rps_doc_frac_no_alph_words,0.29376343116689607,-0.2206203373630859,0.5143837685299819
modernbert_professionalism,rps_doc_word_count,0.09132999794992205,0.5971451976458181,-0.5058151996958961
dsir_books,rps_doc_mean_word_length,0.08676840855044636,0.5669155720388526,-0.4801471634884062
dsir_wiki,rps_doc_mean_word_length,0.08661729977497121,0.5644558104172884,-0.4778385106423172
dsir_math,rps_doc_mean_word_length,0.08708279991016153,0.5645118542492016,-0.47742905433904004
fineweb_edu,rps_doc_word_count,0.08912025024542977,0.5557887864820402,-0.4666685362366104
modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,-0.12057319042886439,0.3213156132552485,-0.4418888036841129
modernbert_reasoning,rps_doc_word_count,0.09139775722734834,0.5262440027611105,-0.43484624553376217
dsir_math,rps_doc_unigram_entropy,0.1495083402344594,0.5834346907115617,-0.4339263504771023
modernbert_readability,rps_doc_frac_no_alph_words,0.5528649127362226,0.13126773668345346,0.42159717605276914
modernbert_reasoning,rps_doc_unigram_entropy,0.22970366233140452,0.6467081120532215,-0.41700444972181705
