g,C_star,Q,L
指数型,3.758374042884451e+18,0.6200709735609296,3.5255717591020463
指数型,3.758374042884451e+18,0.6219706186931249,3.5255296472100013
指数型,3.758374042884451e+18,0.6238702638253203,3.525491039194097
指数型,3.758374042884451e+18,0.6257699089575156,3.5254559841203448
指数型,3.758374042884451e+18,0.6276695540897109,3.5254245302037335
指数型,3.758374042884451e+18,0.6295691992219064,3.525396724842941
指数型,3.758374042884451e+18,0.6314688443541017,3.5253726146531816
指数型,3.758374042884451e+18,0.633368489486297,3.525352245497302
指数型,3.758374042884451e+18,0.6352681346184924,3.525335662515247
指数型,3.758374042884451e+18,0.6371677797506877,3.525322910151993
指数型,3.758374042884451e+18,0.639067424882883,3.525314032184044
指数型,3.758374042884451e+18,0.6409670700150785,3.5253090717445827
指数型,3.758374042884451e+18,0.6428667151472738,3.5253080713473572
指数型,3.758374042884451e+18,0.6447663602794691,3.5253110729093753
指数型,3.758374042884451e+18,0.6466660054116645,3.525318117772482
指数型,3.758374042884451e+18,0.6485656505438598,3.52532924672389
指数型,3.758374042884451e+18,0.6504652956760552,3.52534450001571
指数型,3.758374042884451e+18,0.6523649408082506,3.5253639173835563
指数型,3.758374042884451e+18,0.6542645859404459,3.5253875380642627
指数型,3.758374042884451e+18,0.6561642310726412,3.5254154008127756
指数型,3.758374042884451e+18,0.6580638762048366,3.5254475439182533
指数型,3.758374042884451e+18,0.659963521337032,3.5254840052194347
指数型,3.758374042884451e+18,0.6618631664692273,3.5255248221192956
指数型,3.758374042884451e+18,0.6637628116014227,3.525570031599049
指数型,3.758374042884451e+18,0.665662456733618,3.525619670231513
指数型,3.758374042884451e+18,0.6675621018658133,3.5256737741938875
指数型,3.758374042884451e+18,0.6694617469980088,3.525732379279967
指数型,3.758374042884451e+18,0.6713613921302041,3.525795520911816
指数型,3.758374042884451e+18,0.6732610372623994,3.525863234150939
指数型,3.758374042884451e+18,0.6751606823945948,3.5259355537089703
指数型,3.758374042884451e+18,0.6770603275267901,3.5260125139579084
指数型,3.758374042884451e+18,0.6789599726589854,3.5260941489399107
指数型,3.758374042884451e+18,0.6808596177911809,3.5261804923766826
指数型,3.758374042884451e+18,0.6827592629233762,3.526271577678467
指数型,3.758374042884451e+18,0.6846589080555715,3.5263674379526684
指数型,3.758374042884451e+18,0.6865585531877669,3.526468106012114
指数型,3.758374042884451e+18,0.6884581983199622,3.5265736143829796
指数型,3.758374042884451e+18,0.6903578434521576,3.526683995312397
指数型,3.758374042884451e+18,0.6922574885843529,3.526799280775746
指数型,3.758374042884451e+18,0.6941571337165483,3.5269195024836604
指数型,3.758374042884451e+18,0.6960567788487436,3.5270446918887504
指数型,3.758374042884451e+18,0.697956423980939,3.5271748801920593
指数型,3.758374042884451e+18,0.6998560691131344,3.5273100983492682
指数型,3.758374042884451e+18,0.7017557142453297,3.5274503770766517
指数型,3.758374042884451e+18,0.703655359377525,3.5275957468568073
指数型,3.758374042884451e+18,0.7055550045097204,3.527746237944158
指数型,3.758374042884451e+18,0.7074546496419157,3.5279018803702495
指数型,3.758374042884451e+18,0.7093542947741112,3.5280627039488324
指数型,3.758374042884451e+18,0.7112539399063065,3.5282287382807622
指数型,3.758374042884451e+18,0.7131535850385018,3.528400012758709
指数型,3.758374042884451e+18,0.7150532301706971,3.528576556571685
指数型,3.758374042884451e+18,0.7169528753028925,3.5287583987094084
指数型,3.758374042884451e+18,0.7188525204350878,3.5289455679665007
指数型,3.758374042884451e+18,0.7207521655672833,3.5291380929465244
指数型,3.758374042884451e+18,0.7226518106994786,3.5293360020658797
指数型,3.758374042884451e+18,0.7245514558316739,3.5295393235575467
