target,domain,beta,beta_ci_low,beta_ci_high
loss_arxiv,arxiv,2.398503880727918,2.197263983707503,2.606195886964149
loss_arxiv,freelaw,6.160126130258195,5.788877969349665,6.619419194861972
loss_arxiv,nih_exporter,4.6399492144776575,0.33411998457125636,9.340416466136196
loss_arxiv,pubmed_central,4.930710778243967,4.772069019167128,5.10885834951962
loss_arxiv,wikipedia_en,5.615664037805815,5.275054981527827,5.977924292837566
loss_arxiv,dm_mathematics,4.585117336308246,3.758159070422318,5.422838156660398
loss_arxiv,github,5.8162909424510145,5.655683637766312,6.033721481667848
loss_arxiv,philpapers,0.3153715357302042,-3.2873672125206057,4.308885891985568
loss_arxiv,stackexchange,4.40097552456204,4.184707570560484,4.545646439477015
loss_arxiv,enron_emails,7.612183537846417,-2.961311220398587,17.916410968491007
loss_arxiv,gutenberg_pg_19,5.251308236425888,4.622381555765345,5.822256912169565
loss_arxiv,pile_cc,5.849844913779375,5.588788818312898,6.101998331192067
loss_arxiv,ubuntu_irc,4.611827545471895,3.514924313194561,5.905809576005161
loss_arxiv,europarl,4.174842277825698,2.3927710796440933,6.144762396056333
loss_arxiv,hackernews,4.437284908696576,2.370809738821398,6.412229790240663
loss_arxiv,pubmed_abstracts,5.1277382605546045,4.739222841790475,5.553756467382667
loss_arxiv,uspto_backgrounds,5.463008947662384,5.121870786327544,5.897214240510822
loss_freelaw,arxiv,6.011417008631807,5.816429782685918,6.169784286469709
loss_freelaw,freelaw,2.6416564431789737,2.3419412839713116,2.8719521856407644
loss_freelaw,nih_exporter,3.9960833133376514,1.2490631081429733,6.502377158727354
loss_freelaw,pubmed_central,5.785425744752971,5.609988742300354,5.964808521266453
loss_freelaw,wikipedia_en,5.253500153233815,5.0530106835987745,5.450623203161712
loss_freelaw,dm_mathematics,5.513403546172318,4.868163998244921,6.1216872426135245
loss_freelaw,github,6.168746387532441,5.978581648331146,6.327214709434346
loss_freelaw,philpapers,2.962354673814726,-0.2726645296758889,5.810982984515165
loss_freelaw,stackexchange,6.022918325733039,5.855322331873452,6.196575466881931
loss_freelaw,enron_emails,-4.978867302850364,-10.793796354297456,1.1912423584707237
loss_freelaw,gutenberg_pg_19,4.820138658149274,4.494352615214807,5.078093716313114
loss_freelaw,pile_cc,5.079795139733252,4.996447513495477,5.162755067522118
loss_freelaw,ubuntu_irc,4.756852222135169,3.9783706627672486,5.649444951051298
loss_freelaw,europarl,4.248957116014458,2.951371726802692,5.469860831575015
loss_freelaw,hackernews,3.2121635666115127,1.641799075230709,4.843922508975773
loss_freelaw,pubmed_abstracts,5.838993403836758,5.54163049357598,6.1131586497762855
loss_freelaw,uspto_backgrounds,5.668924026180491,5.411185686287013,5.871889736073882
loss_pubmed_central,arxiv,5.4760316085862435,5.2873890196974775,5.637857198991913
loss_pubmed_central,freelaw,6.105162376256519,5.885588167964813,6.343619941479617
loss_pubmed_central,nih_exporter,0.8098902123907541,-2.277906027652183,4.0345395153320185
loss_pubmed_central,pubmed_central,2.8031403836680666,2.6006969873798726,2.979470779828799
loss_pubmed_central,wikipedia_en,5.545774735956957,5.247592852636407,5.8159391347423774
loss_pubmed_central,dm_mathematics,4.9562552722611475,4.2339269671006345,5.605347992876253
loss_pubmed_central,github,6.079824711897042,5.875878331614321,6.314854626346055
loss_pubmed_central,philpapers,2.1497464927846908,-1.2819939969391154,5.192511946106189
loss_pubmed_central,stackexchange,5.703032808699863,5.459544987458163,5.913827458224952
loss_pubmed_central,enron_emails,9.29553305424616,1.9693076438144737,16.470128806283856
loss_pubmed_central,gutenberg_pg_19,5.253530883824248,4.842264417310585,5.667166273187444
loss_pubmed_central,pile_cc,6.027392082430264,5.864475748829934,6.207079100089773
loss_pubmed_central,ubuntu_irc,4.17032361980468,3.183561832361057,5.161576785067958
loss_pubmed_central,europarl,3.0062292949609013,1.5192467575215918,4.718823776424187
loss_pubmed_central,hackernews,4.2097317273580375,2.2994215252592975,5.788981825109762
loss_pubmed_central,pubmed_abstracts,4.190631043262669,3.870350738163312,4.4577657734498395
loss_pubmed_central,uspto_backgrounds,5.29355565109675,5.056675764097293,5.5818359851179435
loss_wikipedia_en,arxiv,6.278289290645796,6.157686167954019,6.379240909837795
loss_wikipedia_en,freelaw,6.137805075400365,6.024158055917617,6.232940270561034
loss_wikipedia_en,nih_exporter,4.286140381165271,2.827852163835488,5.855827443006376
loss_wikipedia_en,pubmed_central,6.089945766900973,5.975885153288178,6.1840970439003975
loss_wikipedia_en,wikipedia_en,3.5256890312500344,3.324894689306364,3.676683280135075
loss_wikipedia_en,dm_mathematics,6.294003650112071,5.877374398613029,6.707908509408893
loss_wikipedia_en,github,6.533970859229231,6.411442340659221,6.649288495968588
loss_wikipedia_en,philpapers,3.501474744162935,1.8586767297182325,5.216385399961412
loss_wikipedia_en,stackexchange,6.190912599117979,6.070032342218768,6.290900687133848
loss_wikipedia_en,enron_emails,0.951374174725672,-2.1119318721205214,5.098798801188582
loss_wikipedia_en,gutenberg_pg_19,5.602807328400447,5.3812852951587296,5.820678093481933
loss_wikipedia_en,pile_cc,5.316265717897983,5.245244774366809,5.370713504565216
loss_wikipedia_en,ubuntu_irc,5.8903951296307975,5.402129209553986,6.448745278069819
loss_wikipedia_en,europarl,5.7270470830068705,4.973603782656635,6.531251753145967
loss_wikipedia_en,hackernews,5.1497116709671324,4.281270548410082,6.177986692353801
loss_wikipedia_en,pubmed_abstracts,6.042718154000216,5.878751199388489,6.21610886909609
loss_wikipedia_en,uspto_backgrounds,6.095834491090636,5.9326744443503925,6.249381627802777
loss_dm_mathematics,arxiv,4.776608044883151,4.367937549167569,5.1589953325795594
loss_dm_mathematics,freelaw,4.90118178295076,4.410187406586352,5.3317377742494205
loss_dm_mathematics,nih_exporter,-0.5024364262805797,-8.095484144214437,5.410001126184502
loss_dm_mathematics,pubmed_central,4.685685325374188,4.288442315015216,5.05751141421697
loss_dm_mathematics,wikipedia_en,4.3977642694327574,3.7954243066180315,4.908461661004334
loss_dm_mathematics,dm_mathematics,-13.5818559383315,-15.509376657022894,-12.079731027059424
loss_dm_mathematics,github,4.765413935534931,4.405988749777117,5.080678008341409
loss_dm_mathematics,philpapers,-5.391007245092956,-13.148763435469,0.9778800195599859
loss_dm_mathematics,stackexchange,4.05878368689858,3.6916518606398085,4.412957971916085
loss_dm_mathematics,enron_emails,-7.663876489707826,-22.48627896642116,9.061307385684774
loss_dm_mathematics,gutenberg_pg_19,3.527857244927205,2.478550289831978,4.381242972334112
loss_dm_mathematics,pile_cc,4.621591535129183,4.246062592157246,4.968204721875057
loss_dm_mathematics,ubuntu_irc,2.554264385032359,0.2940535086717349,4.94546792767616
loss_dm_mathematics,europarl,3.806570221090516,0.4078885175785002,6.734926984609232
loss_dm_mathematics,hackernews,0.6159483722129976,-2.8368863355668825,4.465383048372355
loss_dm_mathematics,pubmed_abstracts,4.4738959340158,3.7828656294680085,5.094887408123466
loss_dm_mathematics,uspto_backgrounds,4.584075366501001,3.956879971423048,5.1390592141580145
loss_github,arxiv,6.123419664567419,5.849902951537014,6.390622141154209
loss_github,freelaw,6.356386425450783,6.00349078951535,6.669272270492271
loss_github,nih_exporter,1.732361071134347,-1.796268699385955,5.398221484702436
loss_github,pubmed_central,6.2728841270559315,5.957332826045205,6.59060996828271
loss_github,wikipedia_en,5.959619323338535,5.692674026590082,6.202468302389375
loss_github,dm_mathematics,4.878948269273892,3.9754316443094058,5.9717040255578855
loss_github,github,2.6993369172278636,2.456471498609436,2.8663020580396097
loss_github,philpapers,0.014714084606677929,-3.6526443576412135,4.347698509590584
loss_github,stackexchange,3.9814936482724765,3.7594904539134206,4.140146841568544
loss_github,enron_emails,-5.041299182949458,-12.136579594470161,2.2504968513105497
loss_github,gutenberg_pg_19,5.562949238386916,4.999800058777065,6.112535172251098
loss_github,pile_cc,5.871754356648374,5.6656304588244435,6.077548451082044
loss_github,ubuntu_irc,4.003292310273811,2.922252966360668,5.08624185964262
loss_github,europarl,4.116505821925187,2.404015075876728,5.99487212486273
loss_github,hackernews,3.4658864248439887,1.9312795969756915,5.318027534122427
loss_github,pubmed_abstracts,5.3176721849044695,5.010666385763074,5.649671437605844
loss_github,uspto_backgrounds,6.0936175013959835,5.714289553356974,6.502769599584961
loss_stackexchange,arxiv,5.784625550133365,5.567149849630503,5.984490245312586
loss_stackexchange,freelaw,6.074754469015822,5.820303343478163,6.315830664085412
loss_stackexchange,nih_exporter,2.731731263271586,-0.45928072413774423,5.46815437451523
loss_stackexchange,pubmed_central,5.974769892236693,5.7426360805354655,6.200502184019454
loss_stackexchange,wikipedia_en,5.732387558577737,5.508134849598072,5.955965855387504
loss_stackexchange,dm_mathematics,5.168735448430774,4.490048726126183,5.822824350037872
loss_stackexchange,github,4.569206963417692,4.471056056719856,4.658698584154044
loss_stackexchange,philpapers,1.854752347839122,-0.8117119797614116,4.434592982694376
loss_stackexchange,stackexchange,2.9631055146207697,2.7074642991374893,3.167906757580982
loss_stackexchange,enron_emails,1.7061662639726938,-4.372275765987703,7.187119470107417
loss_stackexchange,gutenberg_pg_19,5.6928846404624585,5.37629197996732,6.093934682599132
loss_stackexchange,pile_cc,5.535474426728591,5.396485014410849,5.66395417373462
loss_stackexchange,ubuntu_irc,4.279658245248,3.472205817343819,5.140435448780423
loss_stackexchange,europarl,4.583878713355657,3.3630908554162393,5.863611183288666
loss_stackexchange,hackernews,3.2485929555553574,1.9255380817257803,4.541050035588768
loss_stackexchange,pubmed_abstracts,5.410134461017516,5.169089537812988,5.634832081595499
