ym,n,avg_max,avg_p95,avg_med
2024-06,443,44.39894388647036,30.444178917995092,18.415461238797384
2024-07,174,44.29736213992491,32.02305731467332,20.100924673689192
2024-08,208,45.345219749056206,40.420015940727225,21.804975622592295
2024-09,460,51.23132307602696,38.08914460659291,21.049509725651497
2024-10,432,47.98045991216864,36.914470742216324,20.08050084217813
2024-11,374,52.08138397879168,38.49347947720043,21.81198910322955
2024-12,571,48.10647092442315,41.54917837533554,24.0523306996218
2025-01,868,46.76723892225559,40.245453767984856,22.629607514774733
2025-02,692,47.21693789116021,41.33420705852266,24.188001040020307
2025-03,342,47.09154471380421,42.18972135039792,23.507019160686035
