Loss,LB_base,LB_instruct,CI_lo,CI_hi,band
1.6,23.713619259834783,29.253101139753404,18.48935527301638,28.908295720122233,10.418940447105854
1.7,22.305968845212117,27.84545072513074,17.818385791656482,26.86106812876877,9.04268233711229
1.8,20.89831843058945,26.43780031050807,17.044902119033452,24.82503859191218,7.780136472878727
1.9,19.490668015966783,25.030149895885405,16.22893763514477,22.852963274947722,6.624025639802952
2.0,18.083017601344114,23.622499481262736,15.362101668963568,21.021261100849266,5.659159431885698
2.1,16.675367186721445,22.214849066640067,14.124026511873172,19.36084048560142,5.236813973728246
2.2,15.267716772098776,20.807198652017398,12.662726373796618,17.998188003278827,5.335461629482209
2.4,12.452415942853442,17.991897822772064,9.010754010151619,15.918757182629847,6.908003172478228
2.6,9.637115113608104,15.176596993526726,4.782779520965373,14.185592308767642,9.402812787802269
2.8,6.821814284362773,12.361296164281395,0.529223546505262,12.792330867309081,12.263107320803819
