ym,t,n,x_mean,x_med,x_p25,x_p75,x_p90,N_mean,N_med
2024-06,0.032656441442902986,443,0.9441664142105867,0.9047155452786809,0.8450980400142568,1.1139433523068367,1.669344778673157,8.793594077522547,8.03
2024-07,0.10715599814838991,173,0.8887736147699992,0.9047155452786809,0.8598585204809929,0.9938328666139862,1.3829890619644598,7.7405819833009275,8.03
2024-08,0.1896920579181092,207,1.0427515000429695,0.9047155452786809,0.8600383525748747,1.3651302583870322,1.8485216407506466,11.03447055326273,8.03
2024-09,0.2786165801022668,459,0.9327334007806993,0.9047155452786809,0.8817269353764179,1.0880651776902046,1.4349997913501735,8.565118990938657,8.03
2024-10,0.3533538672142369,432,0.820486888689671,0.9047155452786809,0.5759193138458975,1.006850960324272,1.3433324049274706,6.61434568534049,8.03
2024-11,0.4440442594809064,374,0.7440474605179396,0.8817269353764179,0.5821770376884089,0.9657659641826862,1.1693804953119495,5.546863268110743,7.616
2024-12,0.5335548547105059,571,0.801205762582716,0.9047155452786809,0.6036855496146997,1.0880651776902046,1.1693804953119495,6.327115501572674,8.03
2025-01,0.6084715664102297,868,0.6588134399357995,0.8817269353764179,0.2496874278053015,1.006850960324272,1.1692628640864462,4.558410580509019,7.616
2025-02,0.6880116160836864,692,0.851130245975246,0.9047155452786809,0.8598585204809929,1.0880651776902046,1.1692628640864462,7.097906039815228,8.03
2025-03,0.7453118307976191,342,0.8159433098299196,0.8817269353764179,0.5616276881672254,1.1692628640864462,1.1693804953119495,6.545507274048158,7.616
