index,metric/the_pile_arxiv_val_loss,metric/the_pile_freelaw_val_loss,metric/the_pile_pubmed_central_val_loss,metric/the_pile_wikipedia_en_val_loss,metric/the_pile_dm_mathematics_val_loss,metric/the_pile_github_val_loss,metric/the_pile_stackexchange_val_loss,metric/the_pile_gutenberg_pg_19_val_loss,metric/the_pile_pile_cc_val_loss,metric/the_pile_ubuntu_irc_val_loss,metric/the_pile_hackernews_val_loss,metric/the_pile_pubmed_abstracts_val_loss,metric/the_pile_uspto_backgrounds_val_loss
1,2.0364,1.5538,1.8945,1.6347,1.6872,1.9226,1.7704,1.3700,1.4984,2.0940,1.5093,1.7080,1.5703
2,1.5864,1.8299,1.9445,1.8164,1.5450,1.3866,1.6481,1.6586,1.7889,1.7670,1.6073,1.8927,1.8695
3,1.2130,1.8841,1.5353,1.9293,1.3259,2.1270,1.9768,1.8085,1.7906,2.4310,1.7869,1.8295,1.7909
4,1.6841,1.7367,1.8507,2.0186,1.8257,1.4301,1.5351,1.7557,2.0084,2.5813,1.9128,1.8155,1.5421
5,1.5624,2.1678,1.8174,2.2517,0.7776,1.7369,1.6455,1.9377,2.2307,2.7498,2.0637,2.1934,1.8639
6,1.1882,1.7042,1.6125,1.6679,1.6803,1.3326,1.5894,1.8520,1.8290,1.6405,1.7962,1.8661,1.7512
7,2.1039,2.2486,1.6181,2.1823,1.1519,2.2485,2.0108,2.1146,2.1248,2.3015,2.0232,1.9877,1.6685
8,2.1141,1.1729,1.9352,1.7047,1.7029,1.9577,1.8435,1.5258,1.5680,2.1604,1.5733,1.7125,1.6233
9,1.5099,1.7420,1.0114,1.6294,1.4993,2.0438,1.8349,1.7567,1.6738,2.2140,1.7046,1.2101,1.4524
10,1.6872,1.9667,1.4361,1.6512,1.8667,1.8169,1.7326,1.7984,1.8932,2.6158,1.9118,1.7980,1.8692
11,2.1503,1.0885,1.7411,1.7098,1.7134,1.6952,1.7847,1.4694,1.7082,2.2971,1.6728,1.5099,1.6156
12,1.7387,1.1543,1.2636,1.7125,1.6563,1.9263,1.8277,1.3948,1.7084,2.2451,1.6817,1.4684,1.5934
13,1.8110,1.7189,1.2529,1.9163,1.7771,2.2243,2.0560,1.7910,1.7871,2.2652,1.6632,1.6052,1.7362
14,2.1978,2.1098,1.6711,2.2264,0.9423,1.8851,2.0109,2.0407,2.2630,2.1723,1.9536,1.8480,1.9996
15,1.7649,2.1811,1.7141,1.9293,0.9534,1.5569,1.5596,1.9024,2.0813,2.6100,1.8236,1.7462,1.7145
16,1.7386,1.9295,1.8135,2.5032,0.7558,1.8065,1.8731,2.1526,2.4014,2.0405,2.2718,2.1914,1.9595
17,1.3840,1.6211,2.1906,2.2266,0.9781,1.7851,1.6943,2.0101,2.1053,1.9599,1.9625,2.2223,1.7957
18,2.0365,2.0635,1.6685,2.1519,0.9632,1.8790,1.8386,2.1079,2.0731,1.9829,2.0035,1.9871,2.1058
19,1.6176,1.6935,2.0167,2.0638,0.9706,2.1303,1.8828,2.0410,2.0500,2.0772,1.8881,2.1875,2.0729
20,1.8685,1.9755,1.4084,1.8739,1.9175,1.7985,1.9157,1.6962,1.8602,1.8989,1.7393,1.6634,1.8465
21,1.2036,1.8713,1.5686,1.8080,1.8189,1.7246,1.8052,1.8861,1.9045,1.6741,1.6411,1.8739,1.5965
22,1.8974,1.6342,1.9790,2.2744,0.7975,1.5756,1.9102,1.6997,2.1646,2.7120,2.0596,2.0939,1.6553
23,1.8260,1.7669,1.4184,2.1054,1.9448,1.7199,1.8944,2.1094,2.0901,1.6982,2.0224,1.6652,1.5421
24,2.1918,1.1250,1.9149,1.8275,1.6991,1.6036,1.7406,1.5173,1.7244,2.1805,1.6645,1.6829,1.2626
25,1.7058,1.4533,1.5506,2.1382,1.7232,1.6750,1.4232,1.9355,1.9921,1.8582,1.8851,1.8784,1.9163
26,1.3732,2.0121,1.4237,1.9713,1.9206,2.1658,2.0047,2.1644,2.1019,2.0306,2.0971,1.7679,1.8155
27,2.1256,1.6039,1.5747,1.9992,0.9298,1.9218,2.0749,1.8477,2.1098,2.3167,1.8516,1.8076,2.0307
28,1.6015,1.4390,2.0701,2.0128,0.6287,1.5871,1.4806,1.7272,1.9497,2.4732,1.8650,2.1537,1.7944
29,1.5444,1.6447,1.5731,1.7241,1.6231,2.2234,1.9493,1.3043,1.6259,2.2647,1.6218,1.5332,1.1278
30,2.1942,1.8404,1.8095,1.6859,1.8046,1.4412,1.7355,1.5395,1.8402,2.0278,1.8216,1.8469,1.3830
31,1.5230,1.7361,1.7200,1.7295,1.3172,2.0454,2.0455,1.6235,1.9046,2.6725,1.7734,1.7050,1.8665
32,2.0256,0.9749,1.7385,1.5767,1.6111,1.9269,1.7930,1.3925,1.4675,1.9960,1.4682,1.4887,1.3144
33,2.0081,1.7163,1.9626,1.7789,1.6543,1.2204,1.5189,1.4155,1.6518,2.1999,1.6133,1.8795,1.7329
