c_N,c_D,kind
0.5441373276972504,0.3734384279032321,residual
0.5591350353355153,0.3662544130193177,residual
0.579203900722963,0.34679204357956833,residual
0.5811882267413393,0.3538976283172555,residual
0.5873839674488478,0.3608149361320423,residual
0.5389251993917208,0.39249988230811966,residual
0.5588386536913122,0.37567412239432885,residual
0.5785828240045336,0.35561905086237056,residual
0.5618669661487943,0.36698572479883274,residual
0.5622838198195632,0.3740844378307437,residual
0.554775078203064,0.3557135126725104,residual
0.5432916617567842,0.4093541285119364,residual
0.5809842992701594,0.34152385209858455,residual
0.5555219320644497,0.39151108313793576,residual
0.5389673168647768,0.39316995616597367,residual
0.5762011171540663,0.38362778226882105,residual
0.5685639188514394,0.36086543241294794,residual
0.554746396440878,0.38350430889679266,residual
0.5918708468485795,0.32769233750851545,residual
0.5582217111424446,0.377666250530511,residual
0.5562743432334721,0.36488743984909655,residual
0.5721658539565395,0.35289327736918513,residual
0.5607675019448236,0.38255928486388957,residual
0.5204396115455082,0.41019960679872125,residual
0.5509765315125295,0.3780404254780504,residual
0.584010908451616,0.3614514322412763,residual
0.557183524404264,0.39266971930797084,residual
0.5580223742287681,0.379154199223315,residual
0.5734946071741899,0.35594224422797494,residual
0.5428044018766196,0.3753789058725154,residual
0.584410147178357,0.3573386830719899,residual
0.5445585619855702,0.39225739336365223,residual
0.5473453614273134,0.3896258844652755,residual
0.5562321086812918,0.3570245862954971,residual
0.5365527996045601,0.3821263319080025,residual
0.5695027087732473,0.389908884662094,residual
0.5659295599026374,0.36406374856628315,residual
0.5680579631337257,0.3447928548483758,residual
0.573853081466519,0.38331936161843777,residual
0.562730840686566,0.3849659895353378,residual
0.5091781088387869,0.4137228225996024,residual
0.5536730613372217,0.3554689640349055,residual
0.5544834033045819,0.3589153388991012,residual
0.5661998567070226,0.3869917279619551,residual
0.5255158877117774,0.40576097727662536,residual
0.5987734674814678,0.3209853117589436,residual
0.5539529938835547,0.3573543800037727,residual
0.5779488822328976,0.35273857474128933,residual
0.5692232761452348,0.3681912277199626,residual
0.5755661879085807,0.35663491331952524,residual
0.5760661580070103,0.3619204793511982,residual
0.5350014623009394,0.4034378695646208,residual
0.5278545960637995,0.41808184644497803,residual
0.5639969103932078,0.36196338463090616,residual
0.5662251806472668,0.3508188650912455,residual
0.5634960314954023,0.36898280028518365,residual
0.5448115320208788,0.3868558881147298,residual
0.5727936317745231,0.3646202776617869,residual
0.566301793061388,0.3647987441265816,residual
0.5423334187916288,0.3960943107965139,residual
0.5525815403087876,0.3799190560083349,residual
0.5595208279833169,0.38101317522556216,residual
0.538219305556971,0.39768969483361427,residual
0.5599700074353529,0.37649408837903053,residual
0.5681707865795327,0.35633470714958154,residual
0.5659876947180991,0.3528345099092569,residual
0.5342053353914712,0.39062091185312514,residual
0.5569239408560857,0.38312617937515936,residual
0.5384575497624446,0.38943649338757647,residual
0.5516561961129455,0.36113462284041453,residual
0.5525577529975715,0.40060416754392975,residual
0.53750919682859,0.3903207667032282,residual
0.5574635719167563,0.37077531569248423,residual
0.5538316325032797,0.3856982539530104,residual
0.5500193696958212,0.3886565863382723,residual
0.5522456601364606,0.38737242306563324,residual
0.5516753386968365,0.3774948278696956,residual
0.5480742345925963,0.37896246873637784,residual
0.5421064326977104,0.3637611096094126,residual
0.5565584149980347,0.37996941724469807,residual
0.5706298616738104,0.3606859461131159,residual
0.5704980927897844,0.3528803783121502,residual
0.5455590280417272,0.35958412571489984,residual
0.5388355097991149,0.40457884125244864,residual
0.5679234998532209,0.37338224998257236,residual
0.5304206559901298,0.4062620252391776,residual
0.5658736989318945,0.3718661921556542,residual
0.5443153121600205,0.38654329018139866,residual
0.5624166480890418,0.35936088259596244,residual
0.5562230573659069,0.3818261884976043,residual
0.5404972832548047,0.38669443996511277,residual
0.5527680563422159,0.3702099226119717,residual
0.539985263008472,0.3891096734297439,residual
0.5426093996715763,0.3872174748238182,residual
0.5609765520854769,0.38258407498905483,residual
0.5649601843973372,0.3433926298814556,residual
0.5475151183351971,0.3858166537039357,residual
0.5188396132703414,0.4029378929898646,residual
0.5450519839177602,0.3830946788057872,residual
0.5555707587327132,0.3735801529353329,residual
0.5492048704636385,0.37186461967769424,residual
0.555559832580947,0.3861013343518101,residual
0.5639018912955411,0.3543587185392642,residual
0.5582220266041571,0.3883749361894016,residual
0.5692779016638027,0.34301556327257005,residual
0.5481027182933965,0.3950747524112927,residual
0.5707893629138808,0.3661557713722655,residual
0.5682550351273249,0.3569899417698923,residual
0.5356850860271505,0.3847797084199387,residual
0.5965076137464107,0.35403028755535093,residual
0.516825519609085,0.39096590108559004,residual
0.5585411228283883,0.37503816100400766,residual
0.5772890655460766,0.3419067887560146,residual
0.5484756833428299,0.38765551368921436,residual
0.5791511940056219,0.33388363517337405,residual
0.5387511899986696,0.4043558002427116,residual
0.5654633437432172,0.3830139643545808,residual
0.5460435766215469,0.40684257989761474,residual
0.5670547393573911,0.35666077397132595,residual
0.5455109569388604,0.3823277434561293,residual
0.5824697295111481,0.34690844757697487,residual
0.552860751200322,0.3789173397758573,residual
0.5421204394434911,0.3902635515430587,residual
0.5492344884807296,0.368702826183148,residual
0.5540734382430998,0.3844183792980718,residual
0.5529799153599805,0.3699878158139597,residual
0.5557168245384312,0.3750183067934798,residual
0.5772707819443185,0.3483276388347209,residual
0.5512869603371768,0.39216207279590976,residual
0.5411620668301816,0.37280037880137423,residual
0.5578803462466988,0.3917967072583865,residual
0.5343999373942695,0.373949691538851,residual
0.5673209713327857,0.3506932723973186,residual
0.5799768590856454,0.3504394064223564,residual
0.5424121920138592,0.3897385541216359,residual
0.5452468860484291,0.3959254516857852,residual
0.5848444363658934,0.3570725458013405,residual
0.55339455104589,0.3753414503589454,residual
0.512494721598125,0.4215424495723146,residual
0.5555333145250878,0.36809278058114453,residual
0.5482512762630667,0.39720541639368623,residual
0.5439846960089499,0.3746497865450828,residual
0.5266321282306544,0.42050031442574765,residual
0.5632969741470784,0.3668585476035569,residual
0.552900275218909,0.38204581319397385,residual
0.5477377722748026,0.3776607841580551,residual
0.5752586358065582,0.3670616489208151,residual
0.5504513561225916,0.3874518188563569,residual
0.5478208348829486,0.38448110122694357,residual
0.541350106756485,0.3772256475670159,residual
0.5145047233099783,0.4240863498658472,residual
0.5534019117390604,0.391645175337191,residual
0.5825509438671806,0.36201181681744454,residual
0.5579355425251116,0.37171332460902146,residual
0.5484050883470887,0.4109703406592851,residual
0.5592737196841725,0.38054861100284537,residual
0.5640581421159121,0.37767226413840216,residual
0.5731053483129611,0.38152447186171834,residual
0.5482000032097203,0.3648738278386516,residual
0.564876053598437,0.36007525265748,residual
0.5389975622984979,0.3721073072493741,residual
0.5371007795469301,0.4126050517901701,residual
0.5680811189857625,0.3668036715819131,residual
0.5662963852711688,0.3437812045698105,residual
0.5337734932578074,0.4261536491311344,residual
0.6290582725357312,0.2952001584329972,residual
0.5463234811435421,0.3624658788832712,residual
0.5496650839174125,0.39023083876533143,residual
0.5464671851609291,0.39642003308072304,residual
0.549163058987942,0.38251567924667085,residual
0.5683762908034267,0.3665959369919505,residual
0.5688527608766456,0.35609610688829607,residual
0.5404574468114729,0.4217630829988215,residual
0.5699578965161227,0.35943951104820393,residual
0.5654856538348679,0.38361002497083463,residual
0.5522574819074859,0.3778939690764673,residual
0.5502055515924296,0.3764430752717409,residual
0.5666869503492954,0.37573235995925003,residual
