run_id,N_params_B,D_tokens_B,val_loss,pred_main,resid_main
8,0.070542,0.134,4.7388,4.739711188187268,-0.0009111881872678751
9,0.070542,0.268,4.3541,4.355468704897039,-0.001368704897038775
10,0.070542,0.537,4.0384,4.038252648810856,0.00014735118914455114
11,0.070542,1.074,3.7776,3.777778261526697,-0.00017826152669675466
12,0.070542,2.097,3.5698,3.5700238757305627,-0.00022387573056281695
13,0.070542,4.194,3.3922,3.392165609694176,3.439030582397251e-05
14,0.070542,6.291,3.3024,3.303052393885488,-0.0006523938854878786
15,0.070542,8.389,3.2452,3.245666528500918,-0.00046652850091799536
16,0.070542,10.486,3.2041,3.2042539919493733,-0.00015399194937337768
17,0.070542,12.583,3.172,3.1722860395285855,-0.00028603952858530235
18,0.070542,14.68,3.1466,3.1465018235776587,9.81764223411119e-05
19,0.070542,16.777,3.1248,3.125048543599368,-0.0002485435993677676
20,0.070542,18.874,3.1064,3.106779825331688,-0.0003798253316880107
21,0.070542,20.972,3.0913,3.0909335988601248,0.0003664011398751832
22,0.070542,23.069,3.077,3.077003170949072,-3.170949072206497e-06
23,0.070542,25.166,3.0646,3.064606197351799,-6.19735179885339e-06
24,0.070542,27.263,3.0531,3.0534657112026,-0.0003657112025998721
25,0.070542,29.36,3.0432,3.0433714495962305,-0.00017144959623038858
26,0.070542,31.457,3.0342,3.0341603195158293,3.968048417046788e-05
27,0.070542,33.554,3.0254,3.025703470483132,-0.0003034704831321733
28,0.070542,35.652,3.018,3.017893894460604,0.00010610553939560674
29,0.070542,37.749,3.0105,3.010654827938457,-0.00015482793845711385
30,0.070542,39.846,3.0039,3.0039130524094118,-1.3052409411962174e-05
31,0.070542,41.943,2.9975,2.997610808958317,-0.00011080895831705462
32,0.070542,44.04,2.9921,2.9916995229669805,0.00040047703301970827
33,0.070542,46.137,2.9861,2.986137986352167,-3.798635216689661e-05
34,0.070542,48.234,2.9807,2.980890964066851,-0.00019096406685070733
35,0.070542,50.332,2.9761,2.975925808879436,0.00017419112056415997
36,0.070542,52.429,2.971,2.9712209413356,-0.00022094133559980023
37,0.070542,54.526,2.9668,2.9667509938025347,4.9006197465395474e-05
38,0.070542,56.623,2.9621,2.962495855605406,-0.00039585560540622566
39,0.070542,58.72,2.9582,2.9584378033065377,-0.000237803306537554
40,0.070542,60.817,2.9546,2.954561143823199,3.885617680099429e-05
41,0.070542,62.915,2.951,2.95085019022817,0.00014980977182998956
42,0.070542,65.012,2.9473,2.947296013842656,3.98615734376051e-06
43,0.070542,67.109,2.9439,2.9438856380492453,1.4361950754882002e-05
44,0.070542,69.206,2.9406,2.940609016503253,-9.016503252912145e-06
45,0.070542,71.303,2.9372,2.9374570825903703,-0.0002570825903704943
46,0.070542,73.4,2.9343,2.934421628347115,-0.00012162834711526571
47,0.070542,75.497,2.9314,2.9314952013237416,-9.520132374163381e-05
48,0.070542,77.595,2.9289,2.9286696929220906,0.00023030707790949734
49,0.070542,79.692,2.926,2.9259416004863392,5.839951366093388e-05
50,0.070542,81.789,2.923,2.9233038856210096,-0.00030388562100958083
51,0.070542,83.886,2.9208,2.920751349588935,4.86504110650543e-05
52,0.070542,85.983,2.9182,2.918279213282069,-7.921328206883516e-05
53,0.070542,88.08,2.9158,2.9158830740836423,-8.307408364238711e-05
54,0.070542,90.178,2.9137,2.913557776275077,0.00014222372492289637
55,0.070542,92.275,2.9115,2.9113017766643408,0.00019822333565944206
56,0.070542,94.372,2.9093,2.909110467931559,0.0001895320684410784
