id,domain,Q_equal,Q_entropy,Q_robust,conflict_index,semantic_mean,heuristic_mean,group_gap,conflict_strong
BkiUdvE4eIfiUWiFdbiw,arxiv,0.46455685846563594,0.18339663350736624,0.4472321868484269,0.9411556963027072,0.5721065026283891,0.3749321549966748,0.19717434763171432,1
BkiUdb44dbjiU9oEeWKt,arxiv,0.5062810123088313,0.6243014566270269,0.5187797674798634,0.9580947918900067,0.31393686784895397,0.6665677993587288,0.3526309315097748,1
BkiUd0E5qhDBdMC-Fcd6,arxiv,0.5213967329902763,0.24098839881607764,0.5279759418691529,0.8355688059085975,0.5196795919634619,0.5228276838459552,0.00314809188249332,1
BkiUdPA4dbgg3Wyis_JT,arxiv,0.533922213001287,0.6924167197277212,0.5481589499357431,0.9260869323737728,0.4233443668920369,0.6260704180923286,0.20272605120029163,1
BkiUdILxK7FjYAb_67PT,arxiv,0.5784580290540998,0.3391842135109017,0.5986822457758466,0.7752889265360697,0.5870470084468378,0.5713005462268184,0.015746462220019408,1
BkiUfYzxK6-gD5TlfjZo,arxiv,0.5585457313704951,0.5177062842379629,0.5589973042303474,0.7520748335461962,0.49063710722804144,0.6151362514892065,0.12449914426116504,1
BkiUdZY5qrqCyq8KqH5a,arxiv,0.5582923518023706,0.3331324049766382,0.565743895520484,0.7366457548098884,0.5572093643466222,0.5591948413488276,0.001985477002205416,1
BkiUcQrxK02iP15vfcUN,arxiv,0.4939247924217351,0.4280407454023256,0.4873901697731412,0.7865040824373865,0.4363689269777781,0.5418880136250324,0.10551908664725423,1
BkiUd-7xK7IAD7XMJnpB,arxiv,0.5559040803155737,0.5485825929124389,0.563578816325068,0.7733616957376666,0.46831059168674793,0.6288986541729287,0.16058806248618074,1
BkiUdC84eIZjfagW4Wnr,arxiv,0.5108070029165901,0.6402869603972493,0.5179090531504645,0.9987027320058477,0.3330595332978266,0.6589298942655594,0.32587036096773275,1
BkiUbCM5jDKDx8o5qk9R,arxiv,0.5154419114702905,0.23372916784816103,0.5240760896308857,0.7949760327376793,0.5292760364939098,0.5039134739506078,0.025362562543301936,1
BkiUdafxaL3SuhsxKGrm,arxiv,0.557626204960871,0.44739066032667796,0.5807038986179396,0.8806268261440787,0.5399706607074638,0.572339158505377,0.032368497797913176,1
BkiUbg05ixsDMJPI2xCB,arxiv,0.536248725133336,0.2743961401900733,0.5414889598366202,0.7871255639810402,0.5063373779967494,0.5611748477471584,0.05483746975040904,1
