N_params_B,D_tokens_B,val_loss,step,interpolated
2.782831,0.134,4.1185,0,1
2.782831,0.136,4.1100,0,1
2.782831,0.138,4.0963,0,1
2.782831,0.140,4.0913,0,1
2.782831,0.143,4.0785,0,1
2.782831,0.145,4.0755,0,1
2.782831,0.147,4.0666,0,1
2.782831,0.149,4.0565,0,1
2.782831,0.152,4.0509,0,1
2.782831,0.154,4.0385,0,1
2.782831,0.156,4.0297,0,1
2.782831,0.159,4.0200,0,1
2.782831,0.161,4.0118,0,1
2.782831,0.164,4.0057,0,1
2.782831,0.166,3.9966,0,1
2.782831,0.169,3.9880,0,1
2.782831,0.172,3.9819,0,1
2.782831,0.174,3.9684,0,1
2.782831,0.177,3.9640,0,1
2.782831,0.180,3.9541,0,1
2.782831,0.183,3.9472,0,1
2.782831,0.185,3.9338,0,1
2.782831,0.188,3.9298,0,1
2.782831,0.191,3.9186,0,1
2.782831,0.194,3.9120,0,1
2.782831,0.197,3.9027,0,1
2.782831,0.200,3.8916,0,1
2.782831,0.203,3.8852,0,1
2.782831,0.207,3.8734,0,1
2.782831,0.210,3.8679,0,1
2.782831,0.213,3.8614,0,1
2.782831,0.216,3.8531,0,1
2.782831,0.220,3.8416,0,1
2.782831,0.223,3.8315,0,1
2.782831,0.227,3.8220,0,1
2.782831,0.230,3.8175,0,1
2.782831,0.234,3.8092,0,1
2.782831,0.237,3.7999,0,1
2.782831,0.241,3.7901,0,1
2.782831,0.245,3.7814,0,1
2.782831,0.249,3.7732,0,1
2.782831,0.253,3.7683,0,1
2.782831,0.256,3.7561,0,1
2.782831,0.260,3.7495,0,1
2.782831,0.265,3.7387,0,1
2.782831,0.269,3.7323,0,1
2.782831,0.273,3.7240,0,1
2.782831,0.277,3.7168,0,1
2.782831,0.281,3.7086,0,1
2.782831,0.286,3.7012,0,1
2.782831,0.290,3.6928,0,1
2.782831,0.295,3.6888,0,1
2.782831,0.299,3.6820,0,1
2.782831,0.304,3.6733,0,1
2.782831,0.309,3.6660,0,1
2.782831,0.314,3.6578,0,1
2.782831,0.318,3.6542,0,1
2.782831,0.323,3.6511,0,1
2.782831,0.328,3.6380,0,1
2.782831,0.334,3.6347,0,1
2.782831,0.339,3.6258,0,1
