N_params_B,D_tokens_B,val_loss,step,interpolated
0.070542,0.134,4.7385,0,1
0.070542,0.136,4.7325,0,1
0.070542,0.138,4.7206,0,1
0.070542,0.140,4.7148,0,1
0.070542,0.143,4.7028,0,1
0.070542,0.145,4.6893,0,1
0.070542,0.147,4.6888,0,1
0.070542,0.149,4.6782,0,1
0.070542,0.152,4.6683,0,1
0.070542,0.154,4.6623,0,1
0.070542,0.156,4.6557,0,1
0.070542,0.159,4.6424,0,1
0.070542,0.161,4.6357,0,1
0.070542,0.164,4.6249,0,1
0.070542,0.166,4.6204,0,1
0.070542,0.169,4.6124,0,1
0.070542,0.172,4.6031,0,1
0.070542,0.174,4.5913,0,1
0.070542,0.177,4.5817,0,1
0.070542,0.180,4.5730,0,1
0.070542,0.183,4.5675,0,1
0.070542,0.185,4.5565,0,1
0.070542,0.188,4.5478,0,1
0.070542,0.191,4.5431,0,1
0.070542,0.194,4.5327,0,1
0.070542,0.197,4.5253,0,1
0.070542,0.200,4.5174,0,1
0.070542,0.203,4.5103,0,1
0.070542,0.207,4.4993,0,1
0.070542,0.210,4.4892,0,1
0.070542,0.213,4.4785,0,1
0.070542,0.216,4.4762,0,1
0.070542,0.220,4.4628,0,1
0.070542,0.223,4.4602,0,1
0.070542,0.227,4.4468,0,1
0.070542,0.230,4.4381,0,1
0.070542,0.234,4.4321,0,1
0.070542,0.237,4.4191,0,1
0.070542,0.241,4.4169,0,1
0.070542,0.245,4.4045,0,1
0.070542,0.249,4.3966,0,1
0.070542,0.253,4.3846,0,1
0.070542,0.256,4.3778,0,1
0.070542,0.260,4.3706,0,1
0.070542,0.265,4.3621,0,1
0.070542,0.269,4.3520,0,1
0.070542,0.273,4.3475,0,1
0.070542,0.277,4.3394,0,1
0.070542,0.281,4.3319,0,1
0.070542,0.286,4.3262,0,1
0.070542,0.290,4.3180,0,1
0.070542,0.295,4.3098,0,1
0.070542,0.299,4.3032,0,1
0.070542,0.304,4.2945,0,1
0.070542,0.309,4.2916,0,1
0.070542,0.314,4.2826,0,1
0.070542,0.318,4.2751,0,1
0.070542,0.323,4.2681,0,1
0.070542,0.328,4.2611,0,1
0.070542,0.334,4.2514,0,1
0.070542,0.339,4.2490,0,1
0.070542,0.344,4.2394,0,1
0.070542,0.349,4.2332,0,1
0.070542,0.355,4.2291,0,1
0.070542,0.360,4.2221,0,1
0.070542,0.366,4.2122,0,1
0.070542,0.372,4.2060,0,1
0.070542,0.377,4.1995,0,1
0.070542,0.383,4.1915,0,1
0.070542,0.389,4.1858,0,1
