N_params_B,D_tokens_B,val_loss,step,interpolated
11.965825,0.134,4.0229,0,1
11.965825,0.136,4.0139,0,1
11.965825,0.138,4.0009,0,1
11.965825,0.140,3.9916,0,1
11.965825,0.143,3.9808,0,1
11.965825,0.145,3.9771,0,1
11.965825,0.147,3.9668,0,1
11.965825,0.149,3.9594,0,1
11.965825,0.152,3.9520,0,1
11.965825,0.154,3.9419,0,1
11.965825,0.156,3.9350,0,1
11.965825,0.159,3.9255,0,1
11.965825,0.161,3.9139,0,1
11.965825,0.164,3.9102,0,1
11.965825,0.166,3.8952,0,1
11.965825,0.169,3.8889,0,1
11.965825,0.172,3.8828,0,1
11.965825,0.174,3.8730,0,1
11.965825,0.177,3.8644,0,1
11.965825,0.180,3.8529,0,1
11.965825,0.183,3.8460,0,1
11.965825,0.185,3.8379,0,1
11.965825,0.188,3.8296,0,1
11.965825,0.191,3.8217,0,1
11.965825,0.194,3.8074,0,1
11.965825,0.197,3.8053,0,1
11.965825,0.200,3.7942,0,1
11.965825,0.203,3.7885,0,1
11.965825,0.207,3.7773,0,1
11.965825,0.210,3.7723,0,1
11.965825,0.213,3.7650,0,1
11.965825,0.216,3.7509,0,1
11.965825,0.220,3.7456,0,1
11.965825,0.223,3.7376,0,1
11.965825,0.227,3.7281,0,1
11.965825,0.230,3.7196,0,1
11.965825,0.234,3.7102,0,1
11.965825,0.237,3.7014,0,1
11.965825,0.241,3.6935,0,1
11.965825,0.245,3.6818,0,1
11.965825,0.249,3.6761,0,1
11.965825,0.253,3.6653,0,1
11.965825,0.256,3.6570,0,1
11.965825,0.260,3.6482,0,1
11.965825,0.265,3.6428,0,1
11.965825,0.269,3.6342,0,1
11.965825,0.273,3.6318,0,1
11.965825,0.277,3.6173,0,1
11.965825,0.281,3.6108,0,1
11.965825,0.286,3.6087,0,1
11.965825,0.290,3.5970,0,1
11.965825,0.295,3.5926,0,1
11.965825,0.299,3.5878,0,1
11.965825,0.304,3.5786,0,1
11.965825,0.309,3.5710,0,1
11.965825,0.314,3.5648,0,1
11.965825,0.318,3.5584,0,1
11.965825,0.323,3.5537,0,1
11.965825,0.328,3.5415,0,1
11.965825,0.334,3.5358,0,1
11.965825,0.339,3.5257,0,1
11.965825,0.344,3.5219,0,1
11.965825,0.349,3.5121,0,1
11.965825,0.355,3.5081,0,1
11.965825,0.360,3.4981,0,1
11.965825,0.366,3.4955,0,1
11.965825,0.372,3.4866,0,1
11.965825,0.377,3.4771,0,1
11.965825,0.383,3.4719,0,1
11.965825,0.389,3.4686,0,1
11.965825,0.395,3.4545,0,1
11.965825,0.402,3.4522,0,1
11.965825,0.408,3.4410,0,1
11.965825,0.414,3.4390,0,1
11.965825,0.421,3.4313,0,1
11.965825,0.427,3.4247,0,1
11.965825,0.434,3.4150,0,1
11.965825,0.441,3.4099,0,1
11.965825,0.447,3.4049,0,1
11.965825,0.454,3.3941,0,1
11.965825,0.461,3.3886,0,1
11.965825,0.469,3.3830,0,1
11.965825,0.476,3.3741,0,1
11.965825,0.483,3.3665,0,1
11.965825,0.491,3.3572,0,1
11.965825,0.499,3.3526,0,1
11.965825,0.506,3.3450,0,1
11.965825,0.514,3.3335,0,1
11.965825,0.522,3.3309,0,1
11.965825,0.530,3.3231,0,1
11.965825,0.539,3.3186,0,1
11.965825,0.547,3.3151,0,1
11.965825,0.556,3.3027,0,1
11.965825,0.564,3.3022,0,1
11.965825,0.573,3.2943,0,1
11.965825,0.582,3.2868,0,1
11.965825,0.591,3.2822,0,1
11.965825,0.600,3.2765,0,1
11.965825,0.610,3.2725,0,1
11.965825,0.619,3.2654,0,1
11.965825,0.629,3.2609,0,1
11.965825,0.638,3.2483,0,1
11.965825,0.648,3.2455,0,1
11.965825,0.659,3.2403,0,1
11.965825,0.669,3.2349,0,1
11.965825,0.679,3.2313,0,1
11.965825,0.690,3.2207,0,1
11.965825,0.701,3.2193,0,1
11.965825,0.711,3.2109,0,1
11.965825,0.723,3.2088,0,1
11.965825,0.734,3.2029,0,1
11.965825,0.745,3.1976,0,1
11.965825,0.757,3.1894,0,1
11.965825,0.769,3.1839,0,1
11.965825,0.781,3.1788,0,1
11.965825,0.793,3.1734,0,1
11.965825,0.805,3.1662,0,1
11.965825,0.818,3.1623,0,1
11.965825,0.830,3.1533,0,1
11.965825,0.843,3.1492,0,1
11.965825,0.856,3.1422,0,1
11.965825,0.870,3.1399,0,1
11.965825,0.883,3.1289,0,1
11.965825,0.897,3.1241,0,1
11.965825,0.911,3.1184,0,1
11.965825,0.925,3.1108,0,1
11.965825,0.940,3.1068,0,1
11.965825,0.954,3.1034,0,1
11.965825,0.969,3.0919,0,1
