N_params_B,D_tokens_B,val_loss,step,interpolated
1.040867,0.134,4.2162,0,1
1.040867,0.136,4.2056,0,1
1.040867,0.138,4.1963,0,1
1.040867,0.140,4.1888,0,1
1.040867,0.143,4.1820,0,1
1.040867,0.145,4.1702,0,1
1.040867,0.147,4.1651,0,1
1.040867,0.149,4.1566,0,1
1.040867,0.152,4.1492,0,1
1.040867,0.154,4.1344,0,1
1.040867,0.156,4.1309,0,1
1.040867,0.159,4.1223,0,1
1.040867,0.161,4.1133,0,1
1.040867,0.164,4.1062,0,1
1.040867,0.166,4.0950,0,1
1.040867,0.169,4.0875,0,1
1.040867,0.172,4.0784,0,1
1.040867,0.174,4.0652,0,1
1.040867,0.177,4.0609,0,1
1.040867,0.180,4.0524,0,1
1.040867,0.183,4.0459,0,1
1.040867,0.185,4.0366,0,1
1.040867,0.188,4.0216,0,1
1.040867,0.191,4.0183,0,1
1.040867,0.194,4.0098,0,1
1.040867,0.197,4.0032,0,1
1.040867,0.200,3.9915,0,1
1.040867,0.203,3.9853,0,1
1.040867,0.207,3.9728,0,1
1.040867,0.210,3.9675,0,1
1.040867,0.213,3.9583,0,1
1.040867,0.216,3.9482,0,1
1.040867,0.220,3.9414,0,1
1.040867,0.223,3.9321,0,1
1.040867,0.227,3.9213,0,1
1.040867,0.230,3.9170,0,1
1.040867,0.234,3.9062,0,1
1.040867,0.237,3.8976,0,1
1.040867,0.241,3.8905,0,1
1.040867,0.245,3.8805,0,1
1.040867,0.249,3.8758,0,1
1.040867,0.253,3.8628,0,1
1.040867,0.256,3.8560,0,1
1.040867,0.260,3.8437,0,1
1.040867,0.265,3.8395,0,1
1.040867,0.269,3.8309,0,1
1.040867,0.273,3.8254,0,1
1.040867,0.277,3.8191,0,1
1.040867,0.281,3.8063,0,1
1.040867,0.286,3.8000,0,1
1.040867,0.290,3.7943,0,1
1.040867,0.295,3.7877,0,1
1.040867,0.299,3.7767,0,1
1.040867,0.304,3.7733,0,1
1.040867,0.309,3.7697,0,1
1.040867,0.314,3.7573,0,1
1.040867,0.318,3.7524,0,1
1.040867,0.323,3.7457,0,1
1.040867,0.328,3.7400,0,1
1.040867,0.334,3.7317,0,1
1.040867,0.339,3.7226,0,1
1.040867,0.344,3.7145,0,1
1.040867,0.349,3.7120,0,1
1.040867,0.355,3.7022,0,1
1.040867,0.360,3.6941,0,1
1.040867,0.366,3.6901,0,1
1.040867,0.372,3.6786,0,1
1.040867,0.377,3.6744,0,1
1.040867,0.383,3.6672,0,1
1.040867,0.389,3.6657,0,1
1.040867,0.395,3.6550,0,1
1.040867,0.402,3.6480,0,1
1.040867,0.408,3.6392,0,1
1.040867,0.414,3.6325,0,1
1.040867,0.421,3.6275,0,1
1.040867,0.427,3.6191,0,1
1.040867,0.434,3.6093,0,1
1.040867,0.441,3.6023,0,1
1.040867,0.447,3.5942,0,1
1.040867,0.454,3.5935,0,1
1.040867,0.461,3.5826,0,1
1.040867,0.469,3.5762,0,1
1.040867,0.476,3.5693,0,1
1.040867,0.483,3.5592,0,1
1.040867,0.491,3.5561,0,1
1.040867,0.499,3.5453,0,1
1.040867,0.506,3.5441,0,1
1.040867,0.514,3.5351,0,1
1.040867,0.522,3.5286,0,1
1.040867,0.530,3.5199,0,1
1.040867,0.539,3.5147,0,1
1.040867,0.547,3.5072,0,1
1.040867,0.556,3.5005,0,1
1.040867,0.564,3.4964,0,1
1.040867,0.573,3.4882,0,1
1.040867,0.582,3.4898,0,1
1.040867,0.591,3.4793,0,1
1.040867,0.600,3.4726,0,1
1.040867,0.610,3.4682,0,1
1.040867,0.619,3.4611,0,1
1.040867,0.629,3.4535,0,1
1.040867,0.638,3.4507,0,1
1.040867,0.648,3.4424,0,1
1.040867,0.659,3.4421,0,1
1.040867,0.669,3.4322,0,1
1.040867,0.679,3.4242,0,1
1.040867,0.690,3.4155,0,1
1.040867,0.701,3.4134,0,1
1.040867,0.711,3.4086,0,1
1.040867,0.723,3.4029,0,1
1.040867,0.734,3.3981,0,1
1.040867,0.745,3.3906,0,1
1.040867,0.757,3.3842,0,1
1.040867,0.769,3.3790,0,1
1.040867,0.781,3.3755,0,1
1.040867,0.793,3.3679,0,1
1.040867,0.805,3.3626,0,1
1.040867,0.818,3.3551,0,1
1.040867,0.830,3.3524,0,1
1.040867,0.843,3.3460,0,1
1.040867,0.856,3.3383,0,1
1.040867,0.870,3.3328,0,1
1.040867,0.883,3.3282,0,1
1.040867,0.897,3.3218,0,1
1.040867,0.911,3.3174,0,1
1.040867,0.925,3.3093,0,1
1.040867,0.940,3.3061,0,1
1.040867,0.954,3.3019,0,1
1.040867,0.969,3.2940,0,1
1.040867,0.984,3.2894,0,1
1.040867,1.000,3.2817,0,1
1.040867,1.015,3.2764,0,1
1.040867,1.031,3.2695,0,1
1.040867,1.047,3.2661,0,1
1.040867,1.063,3.2614,0,1
1.040867,1.080,3.2555,0,1
1.040867,1.097,3.2510,0,1
1.040867,1.114,3.2408,0,1
1.040867,1.131,3.2377,0,1
1.040867,1.149,3.2334,0,1
1.040867,1.167,3.2294,0,1
1.040867,1.185,3.2238,0,1
1.040867,1.203,3.2169,0,1
1.040867,1.222,3.2150,0,1
1.040867,1.241,3.2059,0,1
1.040867,1.260,3.2049,0,1
1.040867,1.280,3.1997,0,1
1.040867,1.300,3.1969,0,1
1.040867,1.320,3.1913,0,1
1.040867,1.341,3.1843,0,1
1.040867,1.362,3.1814,0,1
1.040867,1.383,3.1759,0,1
1.040867,1.404,3.1725,0,1
1.040867,1.426,3.1707,0,1
1.040867,1.449,3.1605,0,1
1.040867,1.471,3.1588,0,1
1.040867,1.494,3.1514,0,1
1.040867,1.517,3.1501,0,1
1.040867,1.541,3.1426,0,1
1.040867,1.565,3.1390,0,1
1.040867,1.589,3.1296,0,1
1.040867,1.614,3.1268,0,1
1.040867,1.639,3.1204,0,1
1.040867,1.665,3.1203,0,1
1.040867,1.691,3.1163,0,1
1.040867,1.717,3.1121,0,1
1.040867,1.744,3.1092,0,1
1.040867,1.771,3.0990,0,1
1.040867,1.799,3.0924,0,1
1.040867,1.827,3.0908,0,1
1.040867,1.855,3.0850,0,1
1.040867,1.884,3.0815,0,1
1.040867,1.913,3.0770,0,1
1.040867,1.943,3.0702,0,1
1.040867,1.973,3.0662,0,1
1.040867,2.004,3.0631,0,1
1.040867,2.035,3.0558,0,1
1.040867,2.067,3.0526,0,1
1.040867,2.099,3.0434,1,1
1.040867,2.132,3.0410,1,1
1.040867,2.165,3.0422,1,1
1.040867,2.199,3.0392,1,1
1.040867,2.233,3.0301,1,1
1.040867,2.268,3.0252,1,1
1.040867,2.303,3.0238,1,1
1.040867,2.339,3.0214,1,1
1.040867,2.375,3.0133,1,1
1.040867,2.412,3.0086,1,1
1.040867,2.450,3.0065,1,1
1.040867,2.488,3.0029,1,1
1.040867,2.527,2.9992,1,1
1.040867,2.566,2.9976,1,1
1.040867,2.606,2.9933,1,1
1.040867,2.647,2.9875,1,1
1.040867,2.688,2.9811,1,1
1.040867,2.730,2.9838,1,1
1.040867,2.773,2.9770,1,1
1.040867,2.816,2.9742,1,1
1.040867,2.860,2.9689,1,1
1.040867,2.904,2.9600,1,1
1.040867,2.949,2.9566,1,1
1.040867,2.995,2.9565,1,1
1.040867,3.042,2.9510,1,1
1.040867,3.089,2.9455,1,1
1.040867,3.138,2.9451,1,1
1.040867,3.186,2.9431,1,1
1.040867,3.236,2.9324,1,1
1.040867,3.286,2.9288,1,1
1.040867,3.338,2.9308,1,1
1.040867,3.390,2.9222,1,1
1.040867,3.442,2.9197,1,1
1.040867,3.496,2.9132,1,1
1.040867,3.551,2.9153,1,1
1.040867,3.606,2.9089,1,1
1.040867,3.662,2.9013,1,1
1.040867,3.719,2.8964,1,1
1.040867,3.777,2.8953,1,1
1.040867,3.836,2.8916,1,1
1.040867,3.896,2.8865,1,1
1.040867,3.956,2.8806,1,1
1.040867,4.018,2.8820,1,1
1.040867,4.080,2.8771,1,1
1.040867,4.144,2.8739,1,1
1.040867,4.209,2.8687,2,1
1.040867,4.274,2.8642,2,1
1.040867,4.341,2.8685,2,1
1.040867,4.408,2.8561,2,1
1.040867,4.477,2.8584,2,1
1.040867,4.547,2.8509,2,1
1.040867,4.618,2.8482,2,1
1.040867,4.690,2.8455,2,1
1.040867,4.763,2.8397,2,1
1.040867,4.837,2.8363,2,1
1.040867,4.912,2.8338,2,1
1.040867,4.989,2.8334,2,1
1.040867,5.066,2.8274,2,1
1.040867,5.145,2.8269,2,1
1.040867,5.225,2.8232,2,1
1.040867,5.307,2.8151,2,1
1.040867,5.389,2.8165,2,1
1.040867,5.473,2.8101,2,1
1.040867,5.559,2.8063,2,1
1.040867,5.645,2.8068,2,1
1.040867,5.733,2.7998,2,1
1.040867,5.823,2.7986,2,1
1.040867,5.913,2.7910,2,1
1.040867,6.005,2.7881,2,1
1.040867,6.099,2.7858,2,1
1.040867,6.194,2.7787,2,1
1.040867,6.290,2.7774,3,1
1.040867,6.388,2.7786,3,1
1.040867,6.488,2.7778,3,1
1.040867,6.589,2.7725,3,1
1.040867,6.692,2.7653,3,1
1.040867,6.796,2.7655,3,1
1.040867,6.902,2.7587,3,1
1.040867,7.009,2.7588,3,1
1.040867,7.118,2.7565,3,1
1.040867,7.229,2.7515,3,1
1.040867,7.342,2.7482,3,1
1.040867,7.456,2.7444,3,1
1.040867,7.572,2.7439,3,1
1.040867,7.690,2.7369,3,1
1.040867,7.810,2.7354,3,1
1.040867,7.932,2.7317,3,1
1.040867,8.055,2.7312,3,1
1.040867,8.181,2.7275,3,1
1.040867,8.308,2.7251,3,1
1.040867,8.438,2.7230,4,1
1.040867,8.569,2.7167,4,1
1.040867,8.703,2.7154,4,1
1.040867,8.838,2.7128,4,1
1.040867,8.976,2.7096,4,1
1.040867,9.116,2.7069,4,1
1.040867,9.258,2.7054,4,1
1.040867,9.402,2.7005,4,1
1.040867,9.548,2.6994,4,1
1.040867,9.697,2.6949,4,1
1.040867,9.848,2.6920,4,1
1.040867,10.002,2.6867,4,1
1.040867,10.157,2.6866,4,1
1.040867,10.316,2.6821,4,1
1.040867,10.476,2.6784,5,1
1.040867,10.640,2.6807,5,1
1.040867,10.805,2.6744,5,1
1.040867,10.974,2.6750,5,1
1.040867,11.145,2.6709,5,1
1.040867,11.318,2.6702,5,1
1.040867,11.495,2.6634,5,1
1.040867,11.674,2.6616,5,1
1.040867,11.855,2.6575,5,1
1.040867,12.040,2.6581,5,1
1.040867,12.228,2.6529,5,1
1.040867,12.418,2.6533,5,1
1.040867,12.612,2.6522,6,1
1.040867,12.808,2.6473,6,1
1.040867,13.008,2.6429,6,1
1.040867,13.210,2.6432,6,1
1.040867,13.416,2.6394,6,1
1.040867,13.625,2.6359,6,1
1.040867,13.837,2.6311,6,1
1.040867,14.053,2.6342,6,1
1.040867,14.272,2.6266,6,1
1.040867,14.494,2.6268,6,1
1.040867,14.720,2.6256,7,1
1.040867,14.949,2.6212,7,1
1.040867,15.182,2.6177,7,1
1.040867,15.418,2.6150,7,1
1.040867,15.659,2.6104,7,1
1.040867,15.903,2.6131,7,1
1.040867,16.150,2.6076,7,1
1.040867,16.402,2.6106,7,1
1.040867,16.657,2.6054,7,1
1.040867,16.917,2.6014,8,1
1.040867,17.180,2.5998,8,1
1.040867,17.448,2.5967,8,1
