N_params_B,D_tokens_B,val_loss,step,interpolated
0.409009,0.134,4.3484,0,1
0.409009,0.136,4.3406,0,1
0.409009,0.138,4.3315,0,1
0.409009,0.140,4.3194,0,1
0.409009,0.143,4.3119,0,1
0.409009,0.145,4.2972,0,1
0.409009,0.147,4.2996,0,1
0.409009,0.149,4.2861,0,1
0.409009,0.152,4.2750,0,1
0.409009,0.154,4.2715,0,1
0.409009,0.156,4.2574,0,1
0.409009,0.159,4.2531,0,1
0.409009,0.161,4.2430,0,1
0.409009,0.164,4.2386,0,1
0.409009,0.166,4.2285,0,1
0.409009,0.169,4.2185,0,1
0.409009,0.172,4.2089,0,1
0.409009,0.174,4.2016,0,1
0.409009,0.177,4.1916,0,1
0.409009,0.180,4.1857,0,1
0.409009,0.183,4.1755,0,1
0.409009,0.185,4.1673,0,1
0.409009,0.188,4.1605,0,1
0.409009,0.191,4.1473,0,1
0.409009,0.194,4.1391,0,1
0.409009,0.197,4.1308,0,1
0.409009,0.200,4.1266,0,1
0.409009,0.203,4.1149,0,1
0.409009,0.207,4.1061,0,1
0.409009,0.210,4.1003,0,1
0.409009,0.213,4.0945,0,1
0.409009,0.216,4.0806,0,1
0.409009,0.220,4.0713,0,1
0.409009,0.223,4.0609,0,1
0.409009,0.227,4.0550,0,1
0.409009,0.230,4.0472,0,1
0.409009,0.234,4.0375,0,1
0.409009,0.237,4.0282,0,1
0.409009,0.241,4.0192,0,1
0.409009,0.245,4.0147,0,1
0.409009,0.249,4.0021,0,1
0.409009,0.253,3.9964,0,1
0.409009,0.256,3.9882,0,1
0.409009,0.260,3.9787,0,1
0.409009,0.265,3.9694,0,1
0.409009,0.269,3.9625,0,1
0.409009,0.273,3.9498,0,1
0.409009,0.277,3.9469,0,1
0.409009,0.281,3.9421,0,1
0.409009,0.286,3.9320,0,1
0.409009,0.290,3.9238,0,1
0.409009,0.295,3.9185,0,1
0.409009,0.299,3.9108,0,1
0.409009,0.304,3.9049,0,1
0.409009,0.309,3.8985,0,1
0.409009,0.314,3.8904,0,1
0.409009,0.318,3.8814,0,1
0.409009,0.323,3.8811,0,1
0.409009,0.328,3.8688,0,1
0.409009,0.334,3.8592,0,1
0.409009,0.339,3.8575,0,1
0.409009,0.344,3.8511,0,1
0.409009,0.349,3.8446,0,1
0.409009,0.355,3.8349,0,1
0.409009,0.360,3.8261,0,1
0.409009,0.366,3.8197,0,1
0.409009,0.372,3.8146,0,1
0.409009,0.377,3.8043,0,1
0.409009,0.383,3.7975,0,1
0.409009,0.389,3.7892,0,1
