ind_i,ind_j,arxiv,book,c4,commoncrawl,github,stackexchange,wikipedia,rho_gap_arxiv_minus_github
modernbert_professionalism,dsir_wiki,-0.5957603868250307,0.49208651259977443,0.47095240898582463,0.46138005236168195,0.30793385941528045,-0.1692703712560925,0.44749477948363275,-0.9036942462403112
modernbert_professionalism,dsir_books,-0.5926902427813624,0.2111301440005954,0.4333129193920646,0.4294101330725503,0.30678509422814193,-0.18789242824861505,0.4745557127724045,-0.8994753370095043
modernbert_professionalism,dsir_math,-0.4914952692116598,0.5534177472929149,0.4661167940242101,0.48355449937739853,0.33739503773520174,-0.09690191464223505,0.48199471459683907,-0.8288903069468616
dsir_books,rps_doc_frac_no_alph_words,0.8198255093045113,0.5621935831488912,0.051815661020352885,0.12088188564295593,0.04449978430095594,0.6309276387184974,0.15619779500339212,0.7753257250035553
dsir_wiki,rps_doc_frac_no_alph_words,0.8180986859850385,0.6320114063728862,0.08973802605646562,0.14220964579776543,0.047903903643707224,0.6204014120089413,0.15780320632382117,0.7701947823413313
dsir_math,rps_doc_frac_no_alph_words,0.7406454355770195,0.6427951707555376,0.06536290192366594,0.12889860090215804,0.017092568283597058,0.5705863066140969,0.1444530981811428,0.7235528672934224
fineweb_edu,modernbert_professionalism,-0.36010691277997436,0.47522259821921425,0.6052474279008269,0.45003684034903624,0.3344095536666876,0.07186008942800994,0.4306240853497225,-0.694516466446662
rps_doc_word_count,rps_doc_unigram_entropy,0.07977094803869673,-0.5007931880934872,0.3787737535554244,0.03520320909442176,0.7708966535037224,0.17152491461145844,0.6657369999187314,-0.6911257054650256
rps_doc_unigram_entropy,rps_doc_frac_chars_top_3gram,0.4582599085199032,0.29605843952037014,0.027596511895659932,0.6344637494955955,-0.20271022658722662,0.3473450013683789,0.08404244907472298,0.6609701351071299
modernbert_reasoning,dsir_wiki,-0.11073204152517079,0.36107907785427523,0.6764540427715411,0.5795498420475971,0.5192362184840464,0.1930679660170209,0.6457654980795378,-0.6299682600092172
fineweb_edu,modernbert_reasoning,-0.16172713874959774,0.20658554731562148,0.6681787784949571,0.40937057548376865,0.4633141895615757,0.33911406579072007,0.46014234315953323,-0.6250413283111734
modernbert_reasoning,dsir_books,-0.10387988683181212,0.2235917829082269,0.6717887368696915,0.5868040265271185,0.5185912914602034,0.17715900126645442,0.6766021591651902,-0.6224711782920156
fineweb_edu,rps_doc_unigram_entropy,-0.11735713390665455,0.13282453204937605,0.44498516081320216,0.05697969625824962,0.5003333181058636,0.10404460751430755,0.39812812369045014,-0.6176904520125182
modernbert_cleanliness,dsir_wiki,-0.16227714989436362,0.18004505802278012,0.33024942759558323,0.2072615345204667,0.4214068662820114,0.17869476395029307,0.7324063455048272,-0.583684016176375
modernbert_cleanliness,dsir_books,-0.16117463448764827,0.07468701989627288,0.29629841593117795,0.2157364721437368,0.42151490936922004,0.17023251568015543,0.7421532715287819,-0.5826895438568683
modernbert_cleanliness,dsir_math,-0.1589920671381112,0.19413536340423,0.28321507865687484,0.19252494972990536,0.41215299046572634,0.22676053211690383,0.7432021260195378,-0.5711450576038375
modernbert_professionalism,rps_doc_unigram_entropy,0.11742245755867689,0.4231136276201184,0.46137748653868116,0.42937718618001325,0.683470623832417,0.5834205266817184,0.5716829207455268,-0.5660481662737401
modernbert_professionalism,modernbert_readability,-0.4325907658296846,0.5713058295533636,0.23237708156182435,0.29849844908641127,0.12941043843072014,0.4758685525245391,0.18775642897868597,-0.5620012042604048
dsir_books,rps_doc_unigram_entropy,0.013215411692081281,0.6120305526412454,0.9335260064840954,0.8939972675797309,0.5593146621567716,0.24696338127906226,0.8831772463213398,-0.5460992504646903
dsir_wiki,rps_doc_unigram_entropy,0.013153357531052472,0.7295241364905517,0.9350998358973891,0.8987595593232689,0.5580261410865777,0.25979571275251145,0.8734527367143249,-0.5448727835555252
modernbert_reasoning,dsir_math,0.0041633589270687376,0.44290366556174765,0.6837574847701395,0.6045313919133409,0.5428779427476275,0.2730151291344924,0.6797918347845986,-0.5387145838205587
modernbert_professionalism,ad_en,0.40133069711610236,0.024063508558879714,0.21032124965156565,-0.01907761649946574,-0.11793986355380807,-0.054216946162608054,-0.20867899582662033,0.5192705606699104
fineweb_edu,rps_doc_frac_no_alph_words,0.29360193468147744,0.13305493556051554,0.18498162577544636,0.24926908501767192,-0.22085237746609226,-0.12739196497016234,0.25482740424042993,0.5144543121475698
modernbert_professionalism,rps_doc_word_count,0.08565436398741977,-0.23059371205976803,0.1755072792504725,0.03127485194480514,0.5965544045848223,0.1128175236047334,0.26734381745593494,-0.5109000405974026
modernbert_readability,modernbert_cleanliness,0.1140414409892252,0.4323541411668707,0.6702541328655357,0.5613106580657511,0.6249327799625086,0.7494599871844182,0.4735313811125554,-0.5108913389732834
dsir_books,rps_doc_mean_word_length,0.0897846749983657,,0.05184454808430923,0.024937727098227516,0.5605119834822009,0.23788636988014458,0.04598055536840179,-0.47072730848383515
dsir_wiki,rps_doc_mean_word_length,0.0896487799734075,,0.05184916942825402,0.024937727098227516,0.5580836636930205,0.23720153749314993,0.04598476688227106,-0.46843488371961306
dsir_math,rps_doc_mean_word_length,0.0900704897455446,,0.05185956745212979,0.024937727098311022,0.5579612206379801,0.2398314839574901,0.04600041824726294,-0.46789073089243555
fineweb_edu,rps_doc_word_count,0.08636754651605806,-0.06719018153777463,0.2645482197107249,0.019754265718368837,0.552815367971194,0.10056297238192113,0.4124898205399652,-0.46644782145513597
modernbert_reasoning,rps_doc_word_count,0.08626993962950226,-0.041186986139099185,0.2709880244606472,0.034904856588498796,0.5210804521975166,0.14748963168757026,0.5156754081200843,-0.4348105125680144
modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,-0.1200817861564282,-0.18628650970792235,,0.4763340118632272,0.313504518951769,0.026800377593329743,0.4400549454942198,-0.4335863051081972
dsir_math,rps_doc_unigram_entropy,0.15095519911666275,0.6853697359354856,0.9365281221148983,0.9040997118574116,0.5811184078842745,0.3007441052907742,0.8945546438146504,-0.4301632087676117
modernbert_readability,rps_doc_frac_no_alph_words,0.5514107541603195,0.4474188206494348,0.3094190855798648,0.24745719480253633,0.12813963585328053,-0.14885755989780103,0.28740274872065175,0.42327111830703895
modernbert_reasoning,rps_doc_unigram_entropy,0.22994002212584339,0.27471654767258974,0.6282860555457472,0.5011121823687957,0.639412896713427,0.6495521324029542,0.7480283816094936,-0.40947287458758364
modernbert_reasoning,modernbert_readability,-0.10952441444128916,0.6286965704274367,0.2874883656706088,0.3241738463338142,0.29917679727645186,0.5958778232163516,0.33291647074429803,-0.408701211717741
rps_doc_unigram_entropy,rps_doc_frac_chars_top_2gram,0.4194289317284095,0.04653161325713895,0.4225925216930359,0.5919277446553263,0.021337031080446132,0.5203631643842999,0.5203717112053151,0.39809190064796335
rps_doc_word_count,rps_doc_frac_chars_top_3gram,-0.06554228971840348,-0.18545436230079976,-0.15323835898977475,0.03437607702453271,-0.45493273505950466,-0.008938813668439663,-0.23968252825524056,0.3893904453411012
qurater,modernbert_cleanliness,0.22928572895143748,0.38606834309433063,0.6301019246519529,0.36075709364434966,0.6100627613132631,0.5762703719812501,0.5060753737073985,-0.3807770323618256
