_system,_domain,n,frac_alpha,frac_digit,frac_upper,frac_space,url_per1k,latex_per1k,adkw_per1k,code_per1k,legal_per1k,bio_per1k,unigram_entropy,type_token_ratio,mean_word_len,dup_line_frac,n_chars,n_words,ln_chars,ln_words
mixture17,arxiv,1710,0.6774342113715338,0.027005036368855366,0.05065473835271722,0.14960179330879653,0.029447581180650967,9.235910968588588,0.0013612990999333817,0.03781208368001743,0.0170358998290713,0.3417523646680338,7.893128883034206,0.20024588488919023,4.460702718658851,0.36032556929463794,47278.94269005848,7335.205847953216,10.763841439940043,8.90057707351444
mixture17,dm_mathematics,1922,0.38534007650581614,0.19490397659057146,0.07060710599761592,0.21650235432794282,0.0012699325437231423,0.0,0.0,0.0,0.0,0.0,4.371592384492578,0.03255719995637447,2.96285923765356,0.16366722534920308,8194.0,1112.070239334027,9.01127949117793,7.014877457401137
mixture17,enron_emails,973,0.7042285122112426,0.037621278529395376,0.11463880783432062,0.18514077482403768,0.37342735827926987,0.19611257237429278,0.045475379741062055,0.014365518856260548,0.027778484148368324,0.07637975240703776,5.91892895372438,0.6694372809885668,4.658620330988533,0.2139032099867154,1679.1089414182939,243.53237410071944,7.426613916377206,5.49934770955947
mixture17,europarl,157,0.8270021302869347,0.00420488127863137,0.027286953939692618,0.1444965297569769,0.0,0.0,4.3561167240643126e-05,0.0008977013282212859,0.0010355435076769078,0.009900271292137932,7.9807266704025706,0.4109202260006227,4.8169203189779966,0.06342259052860046,51662.86624203822,8067.6942675159235,10.852513903997304,8.995746947369353
mixture17,freelaw,5099,0.6919723575496853,0.044096281119660255,0.11733395134761813,0.21344078145407105,0.004240630644227724,0.059079513788971166,0.005831504224357897,0.013901280351325462,0.8645596962211359,0.08312968743603869,7.220819331672282,0.4019370192784324,4.795558927186403,0.26215974983006285,15765.085899195921,2379.367523043734,9.665616449987349,7.775010176190703
mixture17,github,14846,0.6195734283074009,0.0314043561468321,0.12596521965536334,0.2012094978740999,0.604011131285364,0.6661308684086282,0.3259297061844862,1.5319264813615978,0.01200426686947338,0.06549636887211777,5.590848373961867,0.4418915121947409,5.48145797559375,0.28496876768027923,5272.66314158696,609.2555570524047,8.57048049335022,6.413877815421539
mixture17,gutenberg_pg_19,79,0.7584289443421428,0.005015630922372214,0.039192628555059485,0.1977532399409224,0.03859871766345198,0.0057668209045386365,0.0037882396758496034,0.016058981935677976,0.030664668959498764,0.03871471733781727,9.134670048423045,0.1282580272153902,4.4223943700629755,0.2001615071412228,381179.59493670886,65842.07594936709,12.851028544263713,11.095029552810207
mixture17,hackernews,944,0.7530739297913795,0.016054391133157656,0.03890058030053503,0.15687973945713501,3.2044916708159508,0.03594388305384909,0.03577419956935804,0.028868867198986636,0.020947697689783953,0.08209799040926977,6.785220122068385,0.5896064387429457,4.698960380353072,0.2980582244784321,5180.604872881356,866.5519067796611,8.552870108288474,6.765675344935486
mixture17,nih_exporter,1877,0.827561876149763,0.005675812539224007,0.03392421324184781,0.1454900666644704,0.0009459151812445122,0.0045343362759928665,0.0008480144060687303,0.034333598685390994,0.014324834905190995,1.4265221395818906,6.574859999106357,0.5390926733810082,5.634184695624338,0.0,2089.0021310602024,308.88172615876397,7.644920364604367,5.736190696158553
mixture17,philpapers,63,0.7832281434534175,0.017407192041931262,0.03863175963003201,0.15834340515230727,0.15651237007408825,0.002958035780308539,0.008498516374742944,0.018982803386633457,0.01952490406819672,0.13688673042967633,8.519463594749581,0.22575924329524474,5.021824946475189,0.012454212454212452,78192.26984126984,12116.15873015873,11.266938859418863,9.402377803935993
