kind,E,A,alpha,B,beta,obj
model_cluster,1.690132901094764,406.33803379132274,0.33999261988055607,411.446666331407,0.2800870401866092,1.3497282887425021e-09
model_cluster,1.690075915159318,406.1906247960229,0.33997097902324813,411.35274450913386,0.28007357172506875,9.461078305990095e-10
model_cluster,1.6899846139937793,406.17125796185553,0.3399686978674953,410.74256720864275,0.2800041593814102,1.1207411560420754e-09
model_cluster,1.690150777118458,406.39815152357164,0.34000191094529086,411.463952523931,0.2800892474406461,1.047134986140435e-09
model_cluster,1.6904543422128528,407.4904441428081,0.34015628917254925,412.4893892695724,0.2802024478910118,1.3778878018726703e-09
model_cluster,1.6901301522095298,406.4406273937704,0.3400078891853162,411.26312693623527,0.2800671250922492,1.1973897603672478e-09
model_cluster,1.6902101451696225,406.9284584825771,0.34007330972462574,411.5931125360791,0.28010245671846407,1.298131257817668e-09
model_cluster,1.690007579978089,406.69700824895006,0.34004165090713223,410.4648463227472,0.27997276557518735,1.0858249099941699e-09
model_cluster,1.6900722417853387,406.89635521909275,0.3400688488303758,410.77128472126157,0.28000755256280163,1.1378601007715695e-09
model_cluster,1.690061584307012,406.5179877744228,0.3400187823271219,410.7351131775587,0.28000739991017853,1.1673825183619593e-09
model_cluster,1.6901801609941878,406.7084633827727,0.34004854964775566,410.95166441069824,0.28003529255839243,1.2266155646172206e-09
model_cluster,1.6905884927244983,408.0986392468474,0.34024383919791396,412.50551973542184,0.2802074153671942,1.258482484931489e-09
model_cluster,1.690128524948339,406.4643400989486,0.34001056639076366,411.3003195662337,0.2800703898951062,1.2625823066300488e-09
model_cluster,1.6901709640149907,406.5785677121905,0.34002862145971907,411.1907207501081,0.2800614425575947,1.0697813633074567e-09
model_cluster,1.690075720560426,406.5788410725623,0.3400278806580286,410.91166707986423,0.28002463928706023,1.1681096212951866e-09
model_cluster,1.690093621885431,406.41412626263354,0.34000394243236076,411.0669359477405,0.28004451594239954,1.1074419532253903e-09
model_cluster,1.6899218664334033,406.4229625135915,0.34000447130432443,410.05267854829646,0.279926806663385,1.3015260325152185e-09
model_cluster,1.6905903122825023,409.1764741039171,0.34038853755105014,411.45599166670104,0.2800920186967448,9.565298738903093e-10
model_cluster,1.6899484026939413,406.8725071203665,0.3400656007589884,410.09284099336185,0.27992781925182864,1.0676904571221583e-09
model_cluster,1.6899831226369115,406.312284555917,0.3399890363216714,410.5005129254777,0.27997867805029886,1.5365808442175713e-09
model_cluster,1.6900368851542191,406.4377242575019,0.3400078073136371,410.49127815342814,0.2799814341214553,1.454095946584206e-09
model_cluster,1.6900718416276594,406.506670894027,0.3400171339705942,410.851221812093,0.2800199523917807,1.175542553875154e-09
model_cluster,1.6901296913773742,406.8912556388983,0.3400681595721805,411.2128086089224,0.2800568094523981,1.280291459090913e-09
model_cluster,1.6900978112063123,406.29426193985665,0.339986295646578,411.33344631199606,0.2800724443533228,1.157921707621816e-09
model_cluster,1.6900444393675687,406.4536619499304,0.34000875669275843,411.00233462999256,0.28003223660134374,1.191042325831076e-09
model_cluster,1.6903264477256503,406.8958554905602,0.3400694794187131,412.44158886795566,0.280197035793197,1.1762705291815567e-09
model_cluster,1.6901319896393436,406.36700698036924,0.33999590983524597,411.6060708770024,0.28010274731308504,1.271927387118487e-09
model_cluster,1.6900052340036993,406.3927216527637,0.3400015321645429,410.3882251937022,0.27996811362700735,1.12261025857332e-09
model_cluster,1.690152839168283,406.40113194799875,0.34000135258834063,411.54747823827995,0.28009827934656106,1.2531694258020277e-09
model_cluster,1.6900707251524343,406.5458060516305,0.34002201881889355,410.89405301371886,0.28002358906086183,1.27487053717865e-09
model_cluster,1.6897837846282948,405.61978226099853,0.3398961265887837,409.6966267448736,0.2798857774972794,8.985557736752179e-10
model_cluster,1.6900739518008365,406.3812531734617,0.33999925961953154,410.9487227073991,0.2800313122516254,1.2041038104285656e-09
model_cluster,1.690033492357702,406.75897189301105,0.3400503249192579,410.5180503181404,0.27998000897723396,1.135262012346862e-09
model_cluster,1.690172429872657,406.499646615197,0.34001609724450077,411.4717973807165,0.28009082103558397,1.1866541579715858e-09
model_cluster,1.689905130874558,405.5315569035252,0.3398840490809774,410.4965311523755,0.2799784428175423,8.009413869853308e-10
